dosen,scholar_id,title,authors,journal,year,citations,link
Ardhini Warih Utami,ZBAnb64AAAAJ,Analisa kesuksesan sistem informasi akademik di perguruan tinggi dengan menggunakan d & m is success model (studi kasus: ITS Surabaya),"AW Utami, F Samopa","SISFO Vol 4 No 5 4, 2013",2013,38,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:2osOgNQ5qMEC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan e-book interaktif pada mata kuliah Elektronika Digital,"A Puspitasari, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 2 (2), 537-543, 2013",2013,37,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:u5HHmVD_uO8C
Lusia Rakhmawati,nWPONc8AAAAJ,Blind robust image watermarking based on adaptive embedding strength and distribution of quantified coefficients,"L Rakhmawati, W Wirawan, S Suwadi, C Delpha, P Duhamel","Expert Systems with Applications 187, 115906, 2022",2022,37,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:vV6vV6tmYwMC
Arif Widodo,RES4QIQAAAAJ,A comparative study of machine learning algorithms for epileptic seizure classification on EEG signals,"EM Imah, A Widodo","2017 International Conference on Advanced Computer Science and Information …, 2017",2017,36,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:2P1L_qKh6hAC
Elly Matul Imah,tzjThtIAAAAJ,A comparative study of machine learning algorithms for epileptic seizure classification on eeg signals,"EM Imah, A Widodo","2017 International Conference on Advanced Computer Science and Information …, 2017",2017,36,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:qxL8FJ1GzNcC
Rina Harimurti,2DniQ8EAAAAJ,Penggunaan aplikasi google classroom dalam upaya meningkatkan hasil belajar matematika pada siswa kelas X IPS 3 SMA negeri 1 Maumere,AE Longa,"Journal on Teacher Education 2 (2), 49-57, 2021",2021,35,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:TQgYirikUcIC
Rifqi Firmansyah,sHANI1gAAAAJ,Control of boost converter using observer-based backstepping sliding mode control for DC microgrid,"RF Muktiadji, MAM Ramli, HREH Bouchekara, AH Milyani, M Rawa, ...","Frontiers in Energy Research 10, 828978, 2022",2022,35,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:9ZlFYXVOiuMC
Miftahur Rohman,TB0QfMoAAAAJ,The Effectiveness and Efficiency of Google Classroom as an Alternative Online Learning Media to Overcome Physical Distancing in Lectures Due to the Covid-19 pandemic: Student …,"M Rohman, F Baskoro, L Endah Cahyaningrum","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,34,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TB0QfMoAAAAJ&pagesize=100&citation_for_view=TB0QfMoAAAAJ:Tyk-4Ss8FVUC
Muhammad Hakiki,2LbFMrAAAAAJ,CT-Mobile: Enhancing Computational Thinking via Android Graphic Design App.,"M Hakiki, R Fadli, Y Hidayah, R Zunarti, VY Yanti","International Journal of Interactive Mobile Technologies 18 (13), 2024",2024,34,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:D03iK_w7-QYC
Ekohariadi,YADiqesAAAAJ,Faktor-faktor yang Mempengaruhi Literasi Sains Siswa Indonesia Berusia 15 Tahun,Ekohariadi,"Jurnal Mahasiswa Teknologi Pendidikan 10 (1), 2009",2009,34,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YADiqesAAAAJ&pagesize=100&citation_for_view=YADiqesAAAAJ:qjMakFHDy7sC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan dan Pembuatan Forum Makanan Berbasis Web,"AD Indriyanti, R Pratama","Jurnal Manajemen Informatika 78, 2015",2015,34,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:Se3iqnhoufwC
Arif Widodo,RES4QIQAAAAJ,Sistem Monitoring Level Ketinggian Air Pada Tandon Rumah Tangga Berbasis IoT (Internet of Things),"AK Rindra, A Widodo, F Baskoro, N Kholis","Jurnal Teknik Elektro 11 (1), 17-22, 2022",2022,34,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:p2g8aNsByqUC
Nurhayati,AYI1rosAAAAJ,Mutual Coupling Reduction for a UWB Coplanar Vivaldi Array by a Truncated and Corrugated Slot,"Nurhayati, G Hendrantoro, T Fukusako, E Setijadi","IEEE Antennas and Wireless Propagation Letters 17 (12), 2284-2288, 2018",2018,33,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:UebtZRa9Y70C
Ardhini Warih Utami,ZBAnb64AAAAJ,Perancangan Dan Pembuatan Sistem Aplikasi Point of Sale Berbasis Website Pada Ud. Es Drop Cita Rasa,SB Kusuma,"Jurnal Manajemen Informatika 7 (2), 2017",2017,33,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZBAnb64AAAAJ&pagesize=100&citation_for_view=ZBAnb64AAAAJ:9yKSN-GCB0IC
Elly Matul Imah,tzjThtIAAAAJ,Arrhytmia classification using fuzzy-neuro generalized learning vector quantization,"IMA Setiawan, EM Imah, W Jatmiko","2011 International Conference on Advanced Computer Science and Information …, 2011",2011,33,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:u-x6o8ySG0sC
Endryansyah,9BWyE0UAAAAJ,Kepraktisan media pembelajaran berbasis web untuk menunjang e-learning pada mata pelajaran instalasi motor listrik di smk,"KA Faradayanti, AI Agung","Jurnal Pendidikan Teknik Elektro 9 (03), 675-683, 2020",2020,33,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:nb7KW1ujOQ8C
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Rancang bangun prototype pembangkit listrik tenaga angin menggunakan turbin angin savonius,"A Nurdiyanto, SI Haryudo","Jurnal Teknik Elektro 9 (1), 2020",2020,33,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:r0BpntZqJG4C
I Made Suartana,RvG7jG4AAAAJ,Monitoring Jaringan Wireless Terhadap Serangan Packet Sniffing Dengan Menggunakan Ids,"AR Fauzi, IM Suartana","Jurnal Manajemen Informatika 8 (2), 11-17, 2018",2018,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RvG7jG4AAAAJ&pagesize=100&citation_for_view=RvG7jG4AAAAJ:hqOjcs7Dif8C
Muhammad Hakiki,2LbFMrAAAAAJ,The Impact of Blockchain Technology Effectiveness in Indonesia's Learning System,"M Hakiki, R Fadli, A Sabir, A Prihatmojo, Y Hidayah","International Journal of Online & Biomedical Engineering 20 (7), 2024",2024,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:ldfaerwXgEUC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,IoT-enabled light intensity-controlled seamless highway lighting system,"MA Rahman, AT Asyhari, MS Obaidat, IF Kurniawan, MY Mukta, ...","IEEE Systems Journal 15 (1), 46-55, 2020",2020,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:_FxGoFyzp5QC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Evaluasi Usability User Interface dan User Experience pada Aplikasi M. Tix dengan Metode Usability Testing (UT) dan System Usability Scale (SUS),"ARR Putri, AD Indriyanti","Journal of Emerging Information Systems and Business Intelligence 4 (2), 21-32, 2023",2023,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:4OULZ7Gr8RgC
Bambang Suprianto,j8HRV1wAAAAJ,"prototype monitoring arus, dan suhu pada transformator distribusi berbasis internet of things (IoT)","AR Madjid, B Suprianto","Jurnal Teknik Elektro 8 (1), 2019",2019,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:dfsIfKJdRG4C
Elly Matul Imah,tzjThtIAAAAJ,Students' Cognitive Processes in Solving Problem Related to the Concept of Area Conservation.,"R Ekawati, AW Kohar, EM Imah, SM Amin, S Fiangga","Journal on Mathematics Education 10 (1), 21-36, 2019",2019,32,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:L8Ckcad2t8MC
Muhammad Hakiki,2LbFMrAAAAAJ,Hubungan Kompetensi Kepribadian dan Kecerdasan Emosional Guru PLK Terhadap Motivasi Belajar Siswa,M Hakiki,"Jurnal Muara Pendidikan 5 (2), 633-642, 2020",2020,31,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:Se3iqnhoufwC
Muhammad Hakiki,2LbFMrAAAAAJ,Revolution in Engineering Education through Android-Based Learning Media for Mobile Learning: Practicality of Mobile Learning Media to Improve Electrical Measuring Skills in …,"F Eliza, R Fadli, M Hakiki, W Trisnawati, YI Putra, G Marind, Y Hidayah","International Journal of Interactive Mobile Technologies 17 (20), 2023",2023,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:J_g5lzvAfSwC
Muhammad Hakiki,2LbFMrAAAAAJ,Upaya Meningkatkan Proses dan Hasil Belajar Matematika Menggunakan Model Pembelajaran Index Card Match di Kelas V SD Negeri 60/II Muara Bungo Kecamatan Rimbo Tengah Kabupaten Bungo,"M Hakiki, DP Cinta","Jurnal Inovasi Pendidikan Dan Teknologi Informasi (JIPTI) 2 (1), 18-24, 2021",2021,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:UebtZRa9Y70C
Naim Rochmawati,8wFXNjYAAAAJ,Klastering Wilayah Kota/Kabupaten Berdasarkan Data Persebaran Covid-19 Di Propinsi Jawa Timur dengan Metode K-Means,"W Yustanti, N Rahmawati, Y Yamasari","Journal Information Engineering and Educational Technology) ISSN 2549, 869X, 2020",2020,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:SeFeTyx0c_EC
Naim Rochmawati,8wFXNjYAAAAJ,Transliterasi aksara jawa tulisan tangan ke tulisan latin menggunakan cnn,"F Ilham, N Rochmawati","Journal of Informatics and Computer Science (JINACS) 1 (04), 200-208, 2020",2020,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:Zph67rFs4hoC
Muhammad Hakiki,2LbFMrAAAAAJ,Enhancing Practicality of Web-Based Mobile Learning in Operating System Course: A Developmental Study.,"M Hakiki, HD Surjono, R Fadli, RD Arief Budiman, W Ramadhani, ...","International Journal of Interactive Mobile Technologies 17 (19), 2023",2023,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:ns9cj8rnVeAC
Muhammad Hakiki,2LbFMrAAAAAJ,THE INFLUENCE OF INTERNSHIP EXPERIENCE AND CAREER GUIDANCE ON STUDENT WORK READINESS: A QUANTITATIVE DESCRIPTIVE RESEARCH STUDY,"M Hakiki, RDA Budiman, M Firdaus, AD Astiti","Jurnal Inovasi Pendidikan dan Teknologi Informasi (JIPTI) 4 (2), 123-133, 2023",2023,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:O3NaXMp0MMsC
Kartika Chandra Dewi,Y7qO6YYAAAAJ,Analysis accuracy of random forest model for big data–a case study of claim severity prediction in car insurance,"KC Dewi, H Murfi, S Abdullah","2019 5th International Conference on Science in Information Technology …, 2019",2019,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Y7qO6YYAAAAJ&pagesize=100&citation_for_view=Y7qO6YYAAAAJ:u5HHmVD_uO8C
Rina Harimurti,2DniQ8EAAAAJ,Penerapan Media Pembelajaran Berbantuan Assemblr Edu Untuk Meningkatkan Hasil Belajar Siswa,"DW Lestari, PW Rusimamto, R Harimurti, AI Agung","Journal of Vocational and Technical Education (JVTE) 5 (2), 225-232, 2023",2023,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:hMod-77fHWUC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan media pembelajaran berbasis web pada mata pelajaran dasar elektronika di smk negeri 3 jombang,"F Rohdiani, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 6 (1), 105-110, 2017",2017,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:mB3voiENLucC
Muhammad Hakiki,2LbFMrAAAAAJ,Effectiveness of Mobile Virtual Laboratory Based on Project-Based Learning to Build Constructivism Thinking.,"R Fadli, HD Surjono, RC Sari, F Eliza, M Hakiki, Y Hidayah, MB Triyono, ...","International Journal of Interactive Mobile Technologies 18 (6), 2024",2024,30,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:35N4QoGY0k4C
Ulfa Siti Nuraini,q-sbahIAAAAJ,YOLO‐UNet Architecture for Detecting and Segmenting the Localized MRI Brain Tumor Image,"N Iriawan, AA Pravitasari, US Nuraini, NI Nirmalasari, T Azmi, M Nasrudin, ...","Applied Computational Intelligence and Soft Computing 2024 (1), 3819801, 2024",2024,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=q-sbahIAAAAJ&pagesize=100&citation_for_view=q-sbahIAAAAJ:qjMakFHDy7sC
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Klasifikasi Kelompok Umur Manusia Bedasarkan Analisis Dimensi Fraktal Box Counting Dari Citra Wajah Dengan Deteksi Tepi Canny,"R Andini, YP Astuti","Jurnal Ilmiah Matematika 9 (2), 437-446, 2021",2021,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:QIV2ME_5wuYC
Rifqi Firmansyah,sHANI1gAAAAJ,Analysis of learning quality with internet-based distance learning during the COVID-19 pandemic,"YS Nugroho, L Anifah, E Sulistiyo, S Cahyaningtias, R Firmansyah","IJORER: International Journal of Recent Educational Research 2 (1), 96-110, 2021",2021,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:KlAtU1dfN6UC
Lilik Anifah,6MXDzBQAAAAJ,Analysis of learning quality with internet-based distance learning during the COVID-19 pandemic,"YS Nugroho, L Anifah, E Sulistiyo, S Cahyaningtias, R Firmansyah","IJORER: International Journal of Recent Educational Research 2 (1), 96-110, 2021",2021,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:bEWYMUwI8FkC
Bambang Suprianto,j8HRV1wAAAAJ,Influence of learning media based on adobe flash professional to psychomotor domain learning outcomes on plc courses viewed from level of creative thinking student,"S Muslim, NP Gitama, B Suprianto, E Rahmadyanti, N Kusumawati","Jurnal Pendidikan Vokasi 8 (3), 267-276, 2018",2018,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:cFHS6HbyZ2cC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Pengukuran penerimaan teknologi dan pengaruh kualitas e-learning terhadap efektifitas pembelajaran pada perguruan tinggi menggunakan metode TAM dan Webqual,"DNS Wati, AD Indriyanti","Journal of Emerging Information Systems and Business Intelligence 2 (3), 1-7, 2021",2021,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:QIV2ME_5wuYC
Muhammad Hakiki,2LbFMrAAAAAJ,Android-Based Blended Learning Media for Computer Maintenance Lectures,"R Sefriani, R Sepriana, P Radyuli, M Hakiki","Journal of Education Technology 6 (1), 119-125, 2022",2022,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:ZeXyd9-uunAC
Rina Harimurti,2DniQ8EAAAAJ,Predicting student's psychomotor domain on the vocational senior high school using linear regression,"R Harimurti, Y Yamasari, B Asto","2018 International Conference on Information and Communications Technology …, 2018",2018,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:UebtZRa9Y70C
Ghea Sekar Palupi,4d_6xxEAAAAJ,Analisis pengaruh variabel keterjangkauan teknologi informasi dalam live streaming shopping TikTok pada minat pembelian,"N Maghfiroh, GS Palupi","Journal of Emerging Information System and Business Intelligence (JEISBI) 4 …, 2023",2023,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4d_6xxEAAAAJ&pagesize=100&citation_for_view=4d_6xxEAAAAJ:YsMSGLbcyi4C
Rifqi Firmansyah,sHANI1gAAAAJ,Arduino based weather monitoring telemetry system using NRF24L01+,"R Sidqi, BR Rynaldo, SH Suroso, R Firmansyah","IOP Conference Series: Materials Science and Engineering 336 (1), 012024, 2018",2018,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:zYLM7Y9cAGgC
Lilik Anifah,6MXDzBQAAAAJ,A novel hybrid of S2DPCA and SVM for knee osteoarthritis classification,"RT Wahyuningrum, L Anifah, IKE Purnama, MH Purnomo","2016 IEEE international conference on computational intelligence and virtual …, 2016",2016,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:Se3iqnhoufwC
Nurhayati,AYI1rosAAAAJ,Rancang Bangun Monitoring Arus Dan Tegangan Pada Plts Sistem On Grid Berbasis Internet Of Things (IoT) Menggunakan Aplikasi Telegram,"D Wijayanto, SI Haryudo, T Wrahatnolo, N Nurhayati","Jurnal Teknik Elektro 11 (3), 447-453, 2022",2022,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:v_tt_AnqfNMC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Rancang Bangun Monitoring Arus Dan Tegangan Pada Plts Sistem On Grid Berbasis Internet Of Things (IoT) Menggunakan Aplikasi Telegram,"D Wijayanto, SI Haryudo, T Wrahatnolo, N Nurhayati","Jurnal Teknik Elektro 11 (3), 447-453, 2022",2022,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:8AbLer7MMksC
Nisa Dwi Septiyanti,VwvPnrcAAAAJ,Implementasi dan pengembangan media pembelajaran game calistung untuk meningkatkan literasi dan numerasi di SD N 04 Kemuning,"DN Ramadhan, HD Hermawan, ND Septiyanti","Jurnal Ilmiah Kampus Mengajar, 13-25, 2023",2023,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VwvPnrcAAAAJ&pagesize=100&citation_for_view=VwvPnrcAAAAJ:2osOgNQ5qMEC
Miftahur Rohman,TB0QfMoAAAAJ,PENGEMBANGAN MODUL PEMBELAJARAN MATA KULIAH ENERGI ALTERNATIF PROGRAM STUDI PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,"YS Nugroho, S Suyitno, D Daryanto, F Achmad, LEC Ningrum, M Rohman","JINoP (Jurnal Inovasi Pembelajaran) 5 (1), 93-106, 2019",2019,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TB0QfMoAAAAJ&pagesize=100&citation_for_view=TB0QfMoAAAAJ:u-x6o8ySG0sC
Parama Diptya Widayaka,nbtuM4IAAAAJ,Perbandingan Akurasi Pengukuran Sensor LM35 dan Sensor DHT11 untuk Monitoring Suhu Berbasis Internet of Things,"S Hadi, RPMD Labib, PD Widayaka","STRING (Satuan Tulisan Riset dan Inovasi Teknologi) 6 (3), 269-278, 2022",2022,28,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nbtuM4IAAAAJ&pagesize=100&citation_for_view=nbtuM4IAAAAJ:zYLM7Y9cAGgC
Lilik Anifah,6MXDzBQAAAAJ,Cancer lungs detection on CT scan image using artificial neural network backpropagation based gray level coocurrence matrices feature,"L Anifah, R Harimurti, Z Permatasari, PW Rusimamto, AR Muhamad","2017 International Conference on Advanced Computer Science and Information …, 2017",2017,27,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:_kc_bZDykSQC
