dosen,scholar_id,title,authors,journal,year,citations,link
Bambang Suprianto,j8HRV1wAAAAJ,Impact of Flight Simulator Training on Enhancing Situational Awareness among Aviation Vocational Education Cadets,"H Prayitno, M Cholik, B Suprianto, I Qiram","2023 International Conference of Computer Science and Information Technology …, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:ruyezt5ZtCIC
Bambang Suprianto,j8HRV1wAAAAJ,Analysis and Improvement of Work Competency on Work Productivity of Vehicle Testers,"B Suprianto, A Wardhono, S Rohmani","Journal of Law and Sustainable Development 11 (11), e2244-e2244, 2023",2023,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:HbR8gkJAVGIC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Implementasi Augmented Reality Pada Aplikasi Android Untuk Memperlihatkan Produk Kaktus,"EK Anggraeni, EN Fauziyah, A Adawiyyah, P Nerisafitra","Jurnal Keilmuan Dan Aplikasi Teknik Informatika 12 (1), 18-28, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:9yKSN-GCB0IC
Paramitha Nerisafitra,Em3aIV0AAAAJ,Sosialisasi Dan Pelatihan Tentang Privacy Dan Keamanan Internet Pada Peserta Didik Smp Negeri 1 Waru,"MDE Susanti, GS Palupi, P Nerisafitra, RP Wibawa","Prosiding Seminar Nasional Pengabdian Kepada Masyarakat 2 (1), 489-498, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:0EnyYjriUFMC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Pengembangan media pembelajaran e-learning berbasis web menggunakan ucoz untuk meningkatkan hasil belajar siswa pada mata pelajaran dasar dan pengukuran listrik di SMK Negeri 1 …,"P Prakoso, SI Haryudo","Jurnal Pendidikan Teknik Elektro 5 (1), 2016",2016,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:d1gkVwhDpl0C
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Penerapan Problem Based Instruction (PBI) dengan Media Software PhET untuk Meningkatkan Hasil Belajar Siswa pada Mata Pelajaran Dasar dan Pengukuran Listrik Berbasis Kurikulum …,"A Wicaksono, SI Haryudo","Jurnal Pendidikan Teknik Elektro 5 (1), 2016",2016,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:0EnyYjriUFMC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan Media Pembelajaran Menggunakan Software Lectora Inspire Pada Mata Pelajaran Teknik Listrik Di SMK Negeri 2 Bojonegoro,"M Irfan, L Rakhmawati","J. Pendidik. Tek. Elektro 6 (01), 111-115, 2017",2017,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:hFOr9nPyWt4C
Lusia Rakhmawati,nWPONc8AAAAJ,Literature Review: Energy Efficiency Mechanisms using Data Reduction in Wireless Sensor Networks (WSNs) Applications,"AHN Nashiruddin, L Rakhmawati","INAJEEE (Indonesian Journal of Electrical and Electronics Engineering) 5 (1 …, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:2P1L_qKh6hAC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Pengembangan Modul Pembelajaran Berbantuan Software Autocad Pada Mata Pelajaran Instalasi Penerangan Listrik Di SMK Negeri 1 Trenggalek,"RT Anggara, SI Haryudo","E-Juornal UNESA. Volume 5, 2016",2016,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:5nxA0vEk-isC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Perbandingan model pembelajaran project based learning berbantuan software electrical control techniques simulation dengan model pembelajaran langsung terhadap hasil belajar …,"RR Saputro, SI Haryudo","Jurnal Pendidikan Teknik Elektro, 8 (1), 13 19, 2017",2017,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:hqOjcs7Dif8C
