scholar_author_id,title,link,citation_id,authors,publication,year,cited_by
lFCI_vsAAAAJ,Co-infection model for Covid-19 and Rubella with vaccination treatment: stability and threshold,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:mVmsd5A6BfQC,lFCI_vsAAAAJ:mVmsd5A6BfQC,"R Artiono, A Wintarti, BP Prawoto, YP Astuti","Commun. Math. Biol. Neurosci. 2022, Article ID 8, 2022",2022,2
lFCI_vsAAAAJ,Pengembangan game edukasi berbasis android sebagai suplemen pembelajaran pada materi perbandingan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:Wp0gIr-vW9MC,lFCI_vsAAAAJ:Wp0gIr-vW9MC,"MDA Zakyanto, A Wintarti","MATHEdunesa 11 (1), 1-11, 2022",2022,17
lFCI_vsAAAAJ,Media pembelajaran berbasis ICT menggunakan software scratch pada materi peluang di SMPN 18 Banjarmasin,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:dhFuZR0502QC,lFCI_vsAAAAJ:dhFuZR0502QC,"H Rani, A Wintarti","EDU-MAT: Jurnal Pendidikan Matematika 10 (1), 95-105, 2022",2022,12
lFCI_vsAAAAJ,On the Extension of Sir Model on the Spread of Covid 19 by Assuming Two Types of Viruses,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:L8Ckcad2t8MC,lFCI_vsAAAAJ:L8Ckcad2t8MC,"M Jakfar, A Lukito, A Wintarti, DA Maulana, F Ilahi","International Joint Conference on Science and Engineering 2021 (IJCSE 2021 …, 2021",2021,
lFCI_vsAAAAJ,Clustering the Students' Behavior on the e-Learning using the Density-Based Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:4DMP91E08xMC,lFCI_vsAAAAJ:4DMP91E08xMC,"Y Yamasari, A Qoiriah, N Rochmawati, W Yustanti, A Wintarti, T Ahmad","2021 International Seminar on Application for Technology of Information and …, 2021",2021,5
lFCI_vsAAAAJ,Violence classification using support vector machine and deep transfer learning feature extraction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:aqlVkmm33-oC,lFCI_vsAAAAJ:aqlVkmm33-oC,"EM Imah, A Wintarti","2021 International Seminar on Intelligent Technology and Its Applications …, 2021",2021,13
lFCI_vsAAAAJ,Pelatihan pembuatan media pembelajaran interaktif bagi guru-guru di kabupaten lombok timur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:M3ejUd6NZC8C,lFCI_vsAAAAJ:M3ejUd6NZC8C,"A Wintarti, A Abadi","Jurnal ABDI: Media Pengabdian Kepada Masyarakat 7 (1), 1-5, 2021",2021,6
lFCI_vsAAAAJ,Pengembangan media pembelajaran mobile learning berbasis android pada materi pola bilangan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:qxL8FJ1GzNcC,lFCI_vsAAAAJ:qxL8FJ1GzNcC,"E Agustin, A Wintarti","JP2M (Jurnal Pendidikan dan Pembelajaran Matematika) 7 (1), 10-23, 2021",2021,14
lFCI_vsAAAAJ,Development Student's Worksheets Solid Curved Surface Based on Augmented Reality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:4TOpqqG69KYC,lFCI_vsAAAAJ:4TOpqqG69KYC,"ZRA Putra, A Wintarti","Majamath: Jurnal Matematika Dan Pendidikan Matematika 4 (1), 23-37, 2021",2021,7
lFCI_vsAAAAJ,Reduksi Dimensi untuk Meningkatkan Kinerja Pengklasteran Perilaku Siswa pada Sistem e-Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=20&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:7PzlFSSx8tAC,lFCI_vsAAAAJ:7PzlFSSx8tAC,"Y Yamasari, N Rochmawati, A Qoiriah, A Wintarti","Jurnal Nasional Teknik Elektro dan Teknologi Informasi 10 (2), 139-147, 2021",2021,2
