id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,Pelatihan Penulisan Karya Ilmiah dan Analisis Data Bagi Guru di SMA Negeri 1 Kampak,2022,Pengabdian Masyarakat
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,Pelatihan Penerapan Blended Learning Menggunakan Internet of Things Bagi Guru-guru Matematika Kabupaten Jombang,2021,Pengabdian Masyarakat
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,Pelatihan Pendamping Olimpiade Matematika Tingkat SD untuk Materi Aljabar bagi Guru-guru di Kabupaten Kediri,2018,Pengabdian Masyarakat
ONC_ZfBEFBDFmSOzx8wQ7Ov1smqIwFjfAXpzECmPtm4TzH8BV4w9BTLiF5TeTgPe4SlDTg==,Elly Matul Imah,  Pelatihan Penggunaan Aplikasi jBatik untuk Mendesain Batik Fraktal di MGMP Seni Budaya Kabupaten Tulungagung,2017,Pengabdian Masyarakat
_ZfGMf3GbkLUBd12FIZR9OJci8p0ZzpQv7JRTzSorUzkyG0zaLyLEwiVJ97-Y7u1oNIUjg==,Riskyana Dewi Intan Puspitasari,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
_ZfGMf3GbkLUBd12FIZR9OJci8p0ZzpQv7JRTzSorUzkyG0zaLyLEwiVJ97-Y7u1oNIUjg==,Riskyana Dewi Intan Puspitasari,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
_ZfGMf3GbkLUBd12FIZR9OJci8p0ZzpQv7JRTzSorUzkyG0zaLyLEwiVJ97-Y7u1oNIUjg==,Riskyana Dewi Intan Puspitasari,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
96KWu3CRLeoYNWPiSEPy6BNedjzlSWFk5y5LQ_9wJ_rjCIbDRDoI1cnKCQTD0BVrH9tFtg==,Ibrohim,Penguatan Literasi Digital dan Teknologi Informasi untuk Mendukung Penulisan Karya Ilmiah Bagi Perhimpunan Pelajar Indonesia di Malaysia,2025,Pengabdian Masyarakat
96KWu3CRLeoYNWPiSEPy6BNedjzlSWFk5y5LQ_9wJ_rjCIbDRDoI1cnKCQTD0BVrH9tFtg==,Ibrohim,Kemampuan Berpikir Kritis dan Kolaboratif Siswa SMK Ketintang Surabaya Pada Bidang Sensor dan Aktuator,2023,Pengabdian Masyarakat
96KWu3CRLeoYNWPiSEPy6BNedjzlSWFk5y5LQ_9wJ_rjCIbDRDoI1cnKCQTD0BVrH9tFtg==,Ibrohim,"Pengenalan Aplikasi simulasi Arduino berbasis web ""Tinkercad"" sebagai media peningkatan kompetensi dalam perancangan sistem elektronik dan robotika di SMK Magetan 1 YKP Magetan",2022,Pengabdian Masyarakat
