"Data set","All Authors affiliated with Universitas Negeri Surabaya","","","","","","","","","","",""
"Entity","Universitas Negeri Surabaya","","","","","","","","","","",""
"Year range","2015 to >2025","","","","","","","","","","",""
"Types of publications included","all publication types","","","","","","","","","","",""
"Self-citations","included","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Data source","Scopus","","","","","","","","","","",""
"Date last updated","11 March 2026","","","","","","","","","","",""
"","","","","","","","","","","","",""
"* If an author's affiliation is part of multiple SciVal Institutions, the author is listed multiple times with one row per Institution.","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Name","Scholarly Output","Most recent publication","Citations","Citations per Publication","Field-Weighted Citation Impact","h-index","Output in Top 10% Citation Percentiles (field-weighted)","Oldest publication (since 1996)","Scopus author ID","Scopus author profile","Primary author affiliation*","ORCID (linked to Scopus author profile)"
"Agustini, Rudiana","23","2026","144","6.3","1.08","8","5","2010","36992036400","https://www.scopus.com/authid/detail.url?authorId=36992036400","Universitas Negeri Surabaya","0000-0001-5437-1219"
"Siantoro, Gigih","23","2026","33","1.4","0.34","3","2","2018","57201348717","https://www.scopus.com/authid/detail.url?authorId=57201348717","Universitas Negeri Surabaya",""
"Bachri, Bachtiar Syaiful","23","2026","102","4.4","0.57","7","3","2018","57210117456","https://www.scopus.com/authid/detail.url?authorId=57210117456","Universitas Negeri Surabaya","0000-0002-9727-0378"
"Amin, Siti Maghfirotun","23","2021","105","4.6","1.38","7","4","2012","57200368688","https://www.scopus.com/authid/detail.url?authorId=57200368688","University of Surabaya",""
"Hariyanto, A.","23","2025","80","3.5","0.72","5","3","2018","57202818459","https://www.scopus.com/authid/detail.url?authorId=57202818459","Universitas Negeri Surabaya","0000-0002-7927-8827"
"Dzulkiflih,","23","2025","39","1.7","0.35","3","0","2018","57201671182","https://www.scopus.com/authid/detail.url?authorId=57201671182","Universitas Negeri Surabaya",""
"Mahdiannur, Muhamad Arif","22","2026","72","3.3","0.67","5","2","2019","57205027077","https://www.scopus.com/authid/detail.url?authorId=57205027077","Universitas Negeri Surabaya","0000-0001-9348-139X"
"Fiangga, S.","22","2025","45","2.0","0.74","4","1","2018","57200376163","https://www.scopus.com/authid/detail.url?authorId=57200376163","Universitas Negeri Surabaya","0000-0002-3297-5617"
"Wahjuni, Endang Sri","22","2025","91","4.1","0.63","6","0","2017","57193788130","https://www.scopus.com/authid/detail.url?authorId=57193788130","Universitas Negeri Surabaya",""
"Kartini, Unit Three","22","2024","85","3.9","0.58","6","0","2018","57192095275","https://www.scopus.com/authid/detail.url?authorId=57192095275","Universitas Negeri Surabaya",""
"Sholikhah, Anindya Maratus","22","2025","64","2.9","0.59","4","1","2020","57216868546","https://www.scopus.com/authid/detail.url?authorId=57216868546","Universitas Negeri Surabaya","0000-0003-4783-6182"
"Prawoto, Budi Priyo","22","2025","49","2.2","0.42","4","0","2017","57194765739","https://www.scopus.com/authid/detail.url?authorId=57194765739","Universitas Negeri Surabaya","0000-0002-0799-9692"
"Subagio, Irmantara","21","2026","29","1.4","0.37","2","2","2020","57218565018","https://www.scopus.com/authid/detail.url?authorId=57218565018","Universitas Negeri Surabaya",""
"Wardoyo, Dewie Tri Wijayati","21","2026","260","12.4","0.78","5","2","2016","57202647254","https://www.scopus.com/authid/detail.url?authorId=57202647254","Universitas Negeri Surabaya",""
"Kholiq, Abdul N.","21","2025","62","3.0","1.41","5","5","2018","59253333500","https://www.scopus.com/authid/detail.url?authorId=59253333500","Universitas Negeri Surabaya","0000-0001-8440-1538"
"Khoiro, Muhimmatul","21","2025","16","0.8","0.48","4","1","2021","57201122762","https://www.scopus.com/authid/detail.url?authorId=57201122762","Universitas Negeri Surabaya","0000-0001-7487-1296"
"Wintarti, Atik","21","2025","46","2.2","0.41","4","0","2015","57053275600","https://www.scopus.com/authid/detail.url?authorId=57053275600","Universitas Negeri Surabaya",""
"Erman, Erman","21","2025","183","8.7","1.07","8","3","2017","57192427696","https://www.scopus.com/authid/detail.url?authorId=57192427696","Universitas Negeri Surabaya","0000-0002-8985-156X"
"Herdyastuti, Nuniek","21","2026","55","2.6","0.21","6","2","2011","39261511000","https://www.scopus.com/authid/detail.url?authorId=39261511000","Universitas Negeri Surabaya",""
"Admoko, S.","21","2026","92","4.4","1.76","6","8","2018","57201665308","https://www.scopus.com/authid/detail.url?authorId=57201665308","Universitas Negeri Surabaya","0000-0002-1597-599X"
"Yulianto, B.","20","2025","47","2.4","1.05","4","2","2018","57206867025","https://www.scopus.com/authid/detail.url?authorId=57206867025","Universitas Negeri Surabaya","0000-0001-6968-2095"
