title,authors,number of authors,scopus author ids,year,full date,scopus source title,volume,issue,pages,article number,issn,source id,source type,language,snip (publication year),snip percentile (publication year) *,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),sjr percentile (publication year) *,field-weighted view impact,views,citations,field-weighted citation impact,field-citation average,"outputs in top citation percentiles, per percentile","field-weighted outputs in top citation percentiles, per percentile",main patent families,policy citations,reference,abstract_x,doi,publication type,open access,eid,pubmed id,institutions,number of institutions,scopus affiliation ids,scopus affiliation names,scopus author id first author,scopus author id last author,scopus author id corresponding author,scopus author id single author,country/region,number of countries/regions,all science journal classification (asjc) code,all science journal classification (asjc) field name,quacquarelli symonds (qs) subject area code,quacquarelli symonds (qs) subject area field name,quacquarelli symonds (qs) subject code,quacquarelli symonds (qs) subject field name,times higher education (the) code,times higher education (the) field name,anzsrc for (2020) parent code,anzsrc for (2020) parent name,anzsrc for (2020) code,anzsrc for (2020) name,sustainable development goals (2025),topic cluster name,topic cluster number,topic cluster prominence percentile,topic name,topic number,topic prominence percentile,publication link to topic strength,abstract_y,status
A Profile of Senior High School Students' Problem-solving Skills on Dynamic Fluid Materials,"Qotrunnada, N.A.| Prahani, B.K.| Marianus| Wibowo, F.C.| Uulaa, R.F.R.",5.0,58074193300| 57207944019| 57209502022| 57191545325| 58036692700,2023.0,2023-01-01,Journal of Physics: Conference Series,2623,1,-,012032,ISSN-17426588,130053.0,Conference Proceeding,English,0.31,78,1.2,75,-,-,1.97,25.0,0.0,0.0,0.78,73.0,73.0,0.0,0.0,"Qotrunnada, N.A., Prahani, B.K., Marianus and 2 more (...) (2023).A Profile of Senior High School Students' Problem-solving Skills on Dynamic Fluid Materials. Journal of Physics: Conference Series,2623(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85179623683&origin=resultslist,10.1088/1742-6596/2623/1/012032,Conference Paper,Gold,2-s2.0-85179623683,-,National Taiwan University of Science and Technology| Universitas Negeri Surabaya| State University of Jakarta,3.0,60105082| 123864319| 60105171| 60027709,Universitas Negeri Surabaya| Faculty of Mathematics and Natural Sciences| Universitas Negeri Jakarta| National Taiwan University of Science and Technology,58074193300,58036692700,-,-,Indonesia| Taiwan,2.0,3100,General Physics and Astronomy,4,Natural Sciences,439,Physics & Astronomy,37,Physical Sciences,51,Physical Sciences,-,-,-,Critical Thinking Skills in Student Learning Outcomes,1339,49.052,Innovative Learning Models for Physics Education,74441,62.176,Definitive,"Physics learning requires problem-solving in the learning process. This research is a pre-experimental study with random samples. This research aims to find out the initial profile of high school students' problem-solving on dynamic fluid material. The subjects of this study were 108 students of grade XI in senior high school. The problem-solving indicator used ACCES, which consists of 5 indicators. The result shows that the problem-solving abilities of high school students in dynamic fluid material still need to be improved because of several factors. Earning models and media need to be more relevant in supporting students' problem-solving abilities. This research can be used as empirical evidence that students' problem-solving skill in dynamic fluid material needs to be improved.",ok
Validation of Augmented Reality Prototype for Aspects of Cultural Learning for BIPA Students,"Pratama, P.M.| Efendi, A.N.| Mufarrikoh, Z.| Sholihin, M.D.I.",4.0,57336768200| 59505490000| 57202206701| 58654315900,2023.0,2023-01-01,Lecture Notes in Electrical Engineering,1029,-,81-89,-,ISSN-18761100,19700186822.0,Book Series,English,0.15,89,0.7,80,0.147,82,2.36,23.0,0.0,0.0,0.93,73.0,73.0,0.0,0.0,"Pratama, P.M., Efendi, A.N., Mufarrikoh, Z. and 1 more (...) (2023).Validation of Augmented Reality Prototype for Aspects of Cultural Learning for BIPA Students. Lecture Notes in Electrical Engineering,102981-89",https://www.scopus.com/record/display.url?eid=2-s2.0-85174437874&origin=resultslist,10.1007/978-3-031-29078-7_8,Conference Paper,,2-s2.0-85174437874,-,Bina Nusantara University| Universitas Negeri Surabaya,2.0,60103610| 126924525| 60105082,Bina Nusantara University| Institut Agama Islam Negeri Madura| Universitas Negeri Surabaya,57336768200,58654315900,57336768200,-,Indonesia,1.0,2209,Industrial and Manufacturing Engineering,2,Engineering & Technology,222,Engineering - Mechanical,36,Engineering,51| 40,Physical Sciences| Engineering,4017| 5199| 4006,Mechanical engineering| Other physical sciences| Communications engineering,-,Augmented Reality and Gesture Recognition Innovations,362,97.842,Augmented Reality Systems for Enhanced User Interaction,726,98.794,Definitive,"The purpose of this study is to summarise the findings from the validation of an augmented reality prototype for BIPA learning’s cultural components. An R&D design was used for this research. The section on product validation, which is an important step in the research and development process, will be the main focus in this instance, though. To determine the calibre of the prototype or product under development, validation is important. An examination of BIPA level 1’s cultural components and AR content is done as part of the validation process. From the devices created during design until the augmented reality software product is attained, validation of the initial product is done in an integrated way. This validation prototype was carried out by two experts, namely technology experts and BIPA learning experts using content validity evaluation (technology content and BIPA materials). The results of the validation data will be processed using SPSS. Based on expert validation, it shows that the Augmented Reality prototype is considered valid, practical, and can be used in learning BIPA Cultural Aspects at Level 1.",ok
Improving children's motor skills during the Covid-19 endemic (Systematic Review),"Halip, M.F.| Nurhasan| Nurkholis| Siantoro, G.| Kartiko, D.C.| Gemaini, A.| Komaini, A.| Ayubi, N.",8.0,58770060500| 57219319997| 57218352666| 57201348717| 57201353796| 57571836700| 57193789399| 57537497000,2023.0,2023-01-01,Fizjoterapia Polska,23,5,157-161,-,ISSN-16420136,16355.0,Journal,English,0.09,93,0.1,99,0.114,99,0.96,19.0,0.0,0.0,4.21,73.0,73.0,0.0,0.0,"Halip, M.F., Nurhasan, Nurkholis and 5 more (...) (2023).Improving children's motor skills during the Covid-19 endemic (Systematic Review). Fizjoterapia Polska,23(5) 157-161",https://www.scopus.com/record/display.url?eid=2-s2.0-85186863835&origin=resultslist,10.56984/8ZG20BR1m,Article,Green,2-s2.0-85186863835,-,State University of Padang| Universitas Negeri Surabaya,2.0,60105082| 60105184,Universitas Negeri Surabaya| Universitas Negeri Padang,58770060500,57537497000,57193789399,-,Indonesia,1.0,3612,"Physical Therapy, Sports Therapy and Rehabilitation",5,Life Sciences & Medicine,343,Sports-related Subjects,34,Medical and Health,42,Health Sciences,4203| 4201| 4207,Health services and systems| Allied health and rehabilitation science| Sports science and exercise,SDG 3,Physical Activity and Motor Skills in Children,742,77.371,Motor Skills Development in Children with DCD,1190,98.451,Definitive,"This study aims to provide information about efforts to improve children's motor skills during the COVID-19 Endemic. Th method used in this study is a systematic review through searching articles in research journal databases such as the Wei of Science, Pubmed, Scopus, and Embase. The keywords in this search were motor skills, children, COVID-19, lifestyle and exercise. A total of 3348 articles from the Web of Science, Pubmed, Scopus, and Embase databases were identified. A further 7 articles that met all inclusion requirements or at least some of them were selected for this systematic review. For standard operationalization, this study follows the PRISMA. The results of this study confirmed several efforts could be made to improve children's motor skills during the COVID-19 endemic period, for example, physical exercise, play-based activities, and other basic skills such as running, jumping, and throwing. This systematic review study reports that several efforts can be made to improve children's motor skills during the COVID-19 endemic period, such as increasing physical exercise, playing activities, and performing basic skills such as running, jumping, and throwing. These types of exercises will help improve motor skills, especially locomotor skills. In addition, the role of parents is very necessary in controlling the activities carried out by children during the COVID-19 endemic.",ok
Understanding Convolved Gaussian Process Priors for Multivariate Non Linear Regression,"Sofro, A.",1.0,57200365842,2022.0,2022-12-22,AIP Conference Proceedings,2662,-,-,020041,ISSN-0094243X,26916.0,Conference Proceeding,English,0.25,82,0.7,85,-,-,0.57,8.0,0.0,0.0,1.57,79.0,79.0,0.0,0.0,"Sofro, A. (2022).Understanding Convolved Gaussian Process Priors for Multivariate Non Linear Regression. AIP Conference Proceedings,2662",https://www.scopus.com/record/display.url?eid=2-s2.0-85146517443&origin=resultslist,10.1063/5.0108204,Conference Paper,Hybrid gold,2-s2.0-85146517443,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,-,-,57200365842,57200365842,Indonesia,1.0,3100,General Physics and Astronomy,4,Natural Sciences,439,Physics & Astronomy,37,Physical Sciences,MD,Multidisciplinary,MD,Multidisciplinary,-,Optimization Models for Multidisciplinary Design Challenges,619,52.453,Gaussian Process Models for Dynamic Data Representation,5639,95.093,Defensible,A Gaussian process as prior in regression analysis was developing last decade. The performance of the prediction has shown promising. Recently the data have become large and dependent on each other. It also has nonlinear characteristics. This paper will discuss the extension of the Gaussian process using convolution for multivariate nonlinear regression. The simulation shows that the performance of prediction is good compared with the existed approach.,ok
Evaluation of Implementation Principal Leadership Management During the Covid-19 Pandemic,"Supriatna, U.| Kertati, I.| Putra, H.| Murtadlo| Sutrisno| Setiawan, Z.| Mardhiah| Saputra, N.",8.0,58000652400| 57226481270| 58306517600| 57216746179| 59393028300| 58306100400| 58306100500| 57726665900,2023.0,2023-05-01,Journal of Curriculum and Teaching,12,3,108-114,-,ISSN-19272677,21101063738.0,Journal,English,0.51,62,0.6,82,0.146,87,1.37,41.0,0.0,0.0,5.39,73.0,73.0,0.0,0.0,"Supriatna, U., Kertati, I., Putra, H. and 5 more (...) (2023).Evaluation of Implementation Principal Leadership Management During the Covid-19 Pandemic. Journal of Curriculum and Teaching,12(3) 108-114",https://www.scopus.com/record/display.url?eid=2-s2.0-85161311166&origin=resultslist,10.5430/jct.v12n3p108,Article,Gold,2-s2.0-85161311166,-,State University of Medan| Universitas Negeri Surabaya| Ahmad Dahlan University,3.0,128964152| 120065610| 60110725| 60105082| 60108701| 60103807| 60106635| 126685620,STAI Al-Haudl Ketapang| Universitas 17 Agustus 1945| Universitas Negeri Medan| Universitas Negeri Surabaya| Universitas Persatuan Guru Republik Indonesia Semarang| Universitas Ahmad Dahlan| UIN Alauddin Makassar| Sekolah Tinggi Ilmu Tarbiyah Al-Hilal Sigli,58000652400,57726665900,58000652400,-,Indonesia,1.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,39| 40,Education| Engineering,3903| 4010| 3901,Education systems| Engineering practice and education| Curriculum and pedagogy,SDG 4,Cognitive Linguistics and Language Development Insights,207,35.906,Cognitive Linguistics in Russian Language Studies,28369,75.39,Definitive,"This research is aimed to investigate and evaluate the implementation of principal leadership management during the pandemic of Covid-19. The Covid-19 outbreak in various countries has changed the traditional face-to-face learning pattern to online learning. Changes in face-to-face learning patterns to online learning must be followed by changes in work patterns for the principal as a manager. The question is, has the principal implemented leadership management following the standards required to carry out online learning during the COVID-19 pandemic? This evaluation study uses a discrepancy model (gaps), which determines the differences in the implementation of principal leadership management with the standards in the work guidelines of principals during the COVID-19 pandemic. The evaluation results concluded that the principal's leadership management implementation was not following the standards, that had implications for the quality of online learning implementation and student learning outcomes. Further research regarding the effectiveness of principal leadership management still needs to be done to improve school management in online learning.",ok
A Bibliometric Analysis of Women’s Entrepreneurship to Sustainable Economic Growth,"Ma’ruf, A.| Chalifatunnisa, C.M.| Nabila, N.S.",3.0,58099723500| 59457130700| 59457365200,2024.0,2024-11-01,TEM Journal,13,4,3040-3049,-,ISSN-22178309,21100831441.0,Journal,English,0.51,63,2.2,49,0.242,66,2.78,72.0,0.0,0.0,4.05,60.0,60.0,0.0,0.0,"Ma’ruf, A., Chalifatunnisa, C.M., Nabila, N.S. (2024).A Bibliometric Analysis of Women’s Entrepreneurship to Sustainable Economic Growth. TEM Journal,13(4) 3040-3049",https://www.scopus.com/record/display.url?eid=2-s2.0-85210989963&origin=resultslist,10.18421/TEM134-38,Article,Gold,2-s2.0-85210989963,-,Universitas Negeri Surabaya| Muhammadiyah University of Surakarta,2.0,60105082| 60104396,Universitas Negeri Surabaya| Universitas Muhammadiyah Surakarta,58099723500,59457365200,58099723500,-,Indonesia,1.0,1405| 1408| 1701| 1710| 1802| 3304,Management of Technology and Innovation| Strategy and Management| Computer Science (miscellaneous)| Information Systems| Information Systems and Management| Education,3| 2,Social Sciences & Management| Engineering & Technology,318| 308| 212,Education & Training| Business & Management Studies| Computer Science & Information Systems,35| 37| 38| 41,Business and Economics| Physical Sciences| Computer Science| Education Studies,35| 39| 51,"Commerce, Management, Tourism And Services| Education| Physical Sciences",5199| 3507| 3903,"Other physical sciences| Strategy, management and organisational behaviour| Education systems",SDG 5| SDG 8,Entrepreneurship and Family Business Dynamics,481,96.991,Empowerment and Challenges in Women Entrepreneurship,2867,99.258,Definitive,"Towards economic development, women have the right to maximise their potential to achieve economic growth. This study aims to analyse research trends that can develop and provide implications for women’s business empowerment. The outline literature published between 2000 and 2020 adopted bibliometric indicators and a literature review approach to visualise research developments and see opportunities to improve studies on women’s entrepreneurship. A total of 317 research articles were generated based on keywords from the Scopus database. The study shows a process of empowering women to increase the potential complicity of women entrepreneurs in entrepreneurial activities. In this case, the suitable activities are from SMEs, which are HBBs (Home-based businesses). The paper humbly encourages future research to explore more on the topic of women’s entrepreneurship following its untapped potential. Consequently, the analysishighlighted some areas of the study in the field of women’s entrepreneurship, motivating future research. This study is expected to motivate the government, economic activists, and researchers to delveinto the potential of women’s entrepreneurship to strengthen the economy.",ok
Fabrication and Characterization of PSf/GO-SiO2Membranes as Filtration of Detergent Contaminated Water,"Anis, A.| Munasir, M.",2.0,58761070400| 57031904800,2023.0,2023-01-01,Journal of Physics: Conference Series,2623,1,-,012016,ISSN-17426588,130053.0,Conference Proceeding,English,0.31,78,1.2,75,-,-,0.63,8.0,0.0,0.0,0.78,73.0,73.0,0.0,0.0,"Anis, A., Munasir, M. (2023).Fabrication and Characterization of PSf/GO-SiO2Membranes as Filtration of Detergent Contaminated Water. Journal of Physics: Conference Series,2623(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85179625858&origin=resultslist,10.1088/1742-6596/2623/1/012016,Conference Paper,Gold,2-s2.0-85179625858,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,58761070400,57031904800,-,-,Indonesia,1.0,3100,General Physics and Astronomy,4,Natural Sciences,439,Physics & Astronomy,37,Physical Sciences,51,Physical Sciences,-,-,SDG 6| SDG 9,Membrane Technologies for Water Treatment and Desalination,555,94.572,Membrane Innovations for Water Treatment Applications,1088,99.657,Definitive,"The increasing use of detergents in daily life can cause environmental pollution. So, to solve the problem, membrane technology is suitable to reduce various pollution from water. Graphene Oxide (GO) and SiO2 are very much of concern and have been studied in recent years because they can change many characteristics of materials and can expand the range of applications in membrane manufacturing. So, this study aims to analyze the results of PSf/GO-SiO2 membrane fabrication by phase inversion method and analyze the results of PSf/GO-SiO2 membrane performance as detergent polluted water filtration. In GO synthesis using Hummer's method, GO-SiO2 composite synthesis using Tetraethylorthosilicate (TEOS) in-situ hydrolysis method, and PSf/GO-SiO2 membrane fabrication using the phase inversion method. So, it is concluded that the PSf/GO-SiO2 membrane fabrication has been successfully carried out, as indicated by the SEM results; with the increasing presence of SiO2, the membrane pore size is getting bigger. For the performance of the PSf/GO-SiO2 membrane with UV-Vis test, the results showed that the flux value of the PSf; PSf/GO and PSf/GO-SiO2 (0.6) membranes was 119.58 L/m2.h; 140.35 L/m2.h and 157.79 L/m2.h respectively. In line with the results of the membrane rejection values are 95.22%, 97.68%, and 98.55%, respectively. The membrane with the best performance in the filtration of detergent-polluted water is the PSf/GO-SiO2 (0.6) membrane. The presence of SiO2 in the membrane causes a higher flux value because the larger membrane pore size influences it, so the PSf/GO-SiO2 membrane can be used to filtrate detergent-contaminated water.",ok
Analysis of the pre-service physics teacher s ability to develop SDGs-oriented multimedia,"Kholiq, A.| Sucahyo, I.| Anggaryani, M.| Satriawan, M.| Habibbulloh, M.",5.0,59253333500| 57201673484| 57222188259| 35183989100| 57201664867,2023.0,2023-11-29,E3S Web of Conferences,450,-,-,01008,ISSN-25550403,21100795900.0,Conference Proceeding,English,0.4,71,0.9,77,-,-,1.48,20.0,0.0,0.0,1.56,73.0,73.0,0.0,0.0,"Kholiq, A., Sucahyo, I., Anggaryani, M. and 2 more (...) (2023).Analysis of the pre-service physics teacher s ability to develop SDGs-oriented multimedia. E3S Web of Conferences,450",https://www.scopus.com/record/display.url?eid=2-s2.0-85180578366&origin=resultslist,10.1051/e3sconf/202345001008,Conference Paper,Gold,2-s2.0-85180578366,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,59253333500,57201664867,59253333500,-,Indonesia,1.0,1900| 2100| 2300,General Earth and Planetary Sciences| General Energy| General Environmental Science,2| 4,Engineering & Technology| Natural Sciences,249| 416| 450| 451| 424| 221,Engineering - Petroleum| Earth & Marine Sciences| Geology| Geophysics| Environmental Sciences| Engineering - Electrical & Electronic,37| 36,Physical Sciences| Engineering,51| 40,Physical Sciences| Engineering,4005| 5199| 4017,Civil engineering| Other physical sciences| Mechanical engineering,SDG 4,Turbulent Flow Dynamics and Boundary Layer Control,111,73.97,Machine Learning Innovations in Turbulent Flow Modeling,19356,98.986,Defensible,"The teacher's ability to develop multimedia is one of the supporting factors in communicating physics learning. Besides that, another requirement for a teacher is to introduce the concept of SDGs to students to prepare generations to achieve sustainable development goals for a better future. Therefore, this study aimed to analyze the abilities of pre-service physics teachers in developing SDGs-oriented multimedia. This study is descriptive research on the pre-service physics teacher who joined multimedia lectures in the Physics Education study program at one of the state universities in Surabaya, Indonesia. Data was collected through interviews and using product assessment sheets, then analyzed descriptively. Based on the results of data analysis, of the six indicators of the ability to develop multimedia, only two indicators were in the high category, namely the ability to edit videos and Accurate presentation of SDG content, and one indicator in a low category was ability to present animations, while the others three in the medium category. Therefore, it can be concluded that preservice physics teachers' ability to develop SDGs-oriented multimedia is in the medium category.",ok
Analysis Of The Level Of Thinking On Vocational High School Students 1 Jabon Sidoarjo Using Rasch Modeling,"Hidayatullah, R.S.| Kurniawan, W.D.| Ajiban, M.H.",3.0,57222415768| 58462093900| 59543934000,2024.0,2024-01-01,"2024 7th International Conference on Vocational Education and Electrical Engineering: Charting the Course of Artificial Technology in Sustainable Society, ICVEE 2024",-,-,145-150,-,-,21101272904.0,Conference Proceeding,English,-,-,-,-,-,-,1.3,6.0,0.0,0.0,0.94,60.0,60.0,0.0,0.0,"Hidayatullah, R.S., Kurniawan, W.D., Ajiban, M.H. (2024).Analysis Of The Level Of Thinking On Vocational High School Students 1 Jabon Sidoarjo Using Rasch Modeling. 2024 7th International Conference on Vocational Education and Electrical Engineering: Charting the Course of Artificial Technology in Sustainable Society, ICVEE 2024,145-150",https://www.scopus.com/record/display.url?eid=2-s2.0-85217062967&origin=resultslist,10.1109/ICVEE63912.2024.10823988,Conference Paper,,2-s2.0-85217062967,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57222415768,59543934000,57222415768,-,Indonesia,1.0,1702| 1706| 1707| 1801| 2105| 2208| 3504,"Artificial Intelligence| Computer Science Applications| Computer Vision and Pattern Recognition| Decision Sciences (miscellaneous)| Renewable Energy, Sustainability and the Environment| Electrical and Electronic Engineering| Oral Surgery",2| 5,Engineering & Technology| Life Sciences & Medicine,249| 221| 213| 514| 212,Engineering - Petroleum| Engineering - Electrical & Electronic| Data Science| Dentistry| Computer Science & Information Systems,34| 36| 38| 37,Medical and Health| Engineering| Computer Science| Physical Sciences,-,-,-,-,SDG 4,Reflective Practice in Student Learning Development,839,54.349,Self-Directed Learning in Medical Education,12687,93.083,Definitive,"In the era of Industrial Revolution 4.0, technological advances have brought significant changes in various aspects of life, including education. Assessment management in Vocational High Schools (SMK) is critical to measure students' level of thinking. Rasch modeling allows analysis of student learning outcomes to assess their critical and analytical thinking abilities. The results of this research are expected to provide insight into the distribution of students' levels of thinking and provide recommendations for more comprehensive and fair assessment methods. The method used was one group pre-test post-test, which was applied to 30 students at Vocational High School 1 Jabon Sidoarjo. The reliability in Cronbach alpha was found to be 0.82, which means the questions were in an outstanding category. Some students answered questions by guessing. It is recommended that interactive PowerPoint media be used under ten pages so that the learning process can be effective and get feedback.",ok
Can batik craft products in the red-light area improve sustainable social and economic impact? A case study of the largest former prostitution area in Southeast Asia,"Indarti, I.| Peng, L.H.| Wahyuningsih, U.| Martadi, M.| Yulistiana, Y.",5.0,57191272623| 55622691000| 58286236400| 57210564282| 59518842200,2024.0,2024-11-01,Heritage and Sustainable Development,6,2,791-812,-,ISSN-27120554,21101090832.0,Journal,English,0.76,45,2.3,24,0.289,31,2.25,43.0,0.0,0.0,3.7,60.0,60.0,0.0,0.0,"Indarti, I., Peng, L.H., Wahyuningsih, U. and 2 more (...) (2024).Can batik craft products in the red-light area improve sustainable social and economic impact? A case study of the largest former prostitution area in Southeast Asia. Heritage and Sustainable Development,6(2) 791-812",https://www.scopus.com/record/display.url?eid=2-s2.0-85215430737&origin=resultslist,10.37868/hsd.v6i2.649,Article,Gold,2-s2.0-85215430737,-,National Yunlin University of Science and Technology| Universitas Negeri Surabaya,2.0,60105082| 60014261,Universitas Negeri Surabaya| National Yunlin University of Science and Technology,57191272623,59518842200,57191272623,-,Taiwan| Indonesia,2.0,1401| 2201| 2216| 2305,"Business, Management and Accounting (miscellaneous)| Engineering (miscellaneous)| Architecture| Environmental Engineering",2| 3| 1,Engineering & Technology| Social Sciences & Management| Arts & Humanities,308| 424| 106,Business & Management Studies| Environmental Sciences| Architecture,37| 35| 33| 36,Physical Sciences| Business and Economics| Arts and Humanities| Engineering,-,-,-,-,SDG 5| SDG 6| SDG 9| SDG 12| SDG 16,Cultural Dynamics in Urban Development and Creativity,1417,18.247,Cultural Dynamics in Creative Industry Development,410,96.157,Definitive,"The batik industry in the ex-Dolly area of Surabaya has undergone significant transformation from its history as a red-light district to a hub for creative batik production. This study aims to assess the environmental and social impacts of the development batik industry in the ex-Dolly area using the Environmental and Social Impact Assessment (ESIA) method. Through a qualitative case study approach, key stakeholders including batik artisans, local communities, and government agencies were engaged to evaluate the industry's sustainability and development. Baseline data collection and impact assessments revealed both positive and negative effects on the environment and social well-being of artisans. Mitigation measures were proposed to address issues such as water pollution, waste management, and working conditions. The results and discussions highlighted the importance of sustainable practices and community involvement in enhancing batik industry's overall impact. The study concludes that by implementing targeted strategies and monitoring mechanisms, the batik industry in the ex-Dolly area can achieve long-term sustainability and positive social outcomes. The implications of this research extend to policymakers, industry stakeholders, and local communities, emphasizing the need for responsible environmental and social practices in the development of creative industries.",ok
"DNA barcode of mudskipper based on DNA mini-barcode COI from the North Coast of East Java, Indonesia","Khusna, U.A.| Fadzilah, H.N.| Raihan, M.| Pramesti, H.P.| Salfiah, E.N.| Rahayu, D.A.| Nugroho, E.D.| Rahim, A.A.| Rusdianto",9.0,59517772600| 59517866700| 59111407400| 59517376700| 59517964600| 57214115527| 57202467937| 16244365400| 59506509400,2024.0,2024-01-01,AACL Bioflux,17,6,3063-3075,-,ISSN-18448143,19300156808.0,Journal,English,0.42,69,1.3,73,0.223,77,0.67,8.0,0.0,0.0,3.16,60.0,60.0,0.0,0.0,"Khusna, U.A., Fadzilah, H.N., Raihan, M. and 6 more (...) (2024).DNA barcode of mudskipper based on DNA mini-barcode COI from the North Coast of East Java, Indonesia. AACL Bioflux,17(6) 3063-3075",https://www.scopus.com/record/display.url?eid=2-s2.0-85215287560&origin=resultslist,-,Article,,2-s2.0-85215287560,-,Universiti Kebangsaan Malaysia| Universitas Negeri Surabaya| National Research and Innovation Agency Republic of Indonesia,3.0,60105082| 132155190| 60001821| 60273350,Universitas Negeri Surabaya| University Nadhlatul Ulama Pasuruan| Universiti Kebangsaan Malaysia| Badan Riset dan Inovasi Nasional,59517772600,59506509400,57214115527,-,Indonesia| Malaysia,2.0,1104| 1105| 2308| 2312,"Aquatic Science| Ecology, Evolution, Behavior and Systematics| Management, Monitoring, Policy and Law| Water Science and Technology",5| 2| 3,Life Sciences & Medicine| Engineering & Technology| Social Sciences & Management,424| 502,Environmental Sciences| Agriculture & Forestry,32| 37,Life Sciences| Physical Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3005| 3103,Fisheries sciences| Ecology,SDG 14,DNA Barcoding and Species Identification Techniques,1314,25.638,DNA Barcoding and Taxonomic Identification Advances,5474,95.755,Definitive,"Previous research has reported a common phenomenon of ambiguous species in the family Gobiidae, including mudskippers, which have highly similar morphology and phenetics but are genetically different, resulting in taxonomic confusion. Inaccurate identification of cryptic species can lead to taxonomic and conservation problems. The problems posed are multiple names for the same species, an increase in biodiversity, an increase in ambiguous diversity, and two genetically distinct species classified into one species due to morphological similarities. Research on the molecular identification of mudskippers using the COI mitochondrial gene as a DNA mini-barcoding marker in Indonesia, especially in East Java, still needs to be completed. This research aimed to identify and analysis of the genetic relationship of mudskipper based on the COI (cytochrome-c-oxidase subunit I) gene. DNA samples were collected from 5 locations on the North Coast of East Java, Indonesia. DNA samples were collected by cutting the pectoral fins of caught mudskipper fish. The pectoral fins were stored in pure-grade ethanol and subjected to DNA extraction, PCR, and sequence processing analysis using bioinformatics. The result shows that four species based on eight samples from different locations of mudskipper fish were found to have similarity values with Periophthalmodon schlosseri, Periophthalmus argentilineatus, Boleophthalmus boddarti, and Boleophthalmus pectinirostris, namely in the range of 98.42-100% genetic similarity. Genetic analysis based on nucleotides showed a site frequency of 66.196%, site parsimony of 24.646%, nucleotide diversity of 0.995, and haplotypes 7 and 11 mutations at the first codon position. Based on the phylogenetic tree topology analysis of the research samples, the bootstrap value range for each Operational Taxonomic Unit (OTU) was between 98 and 100, which indicates that the samples have significant similarities or belong to the same species in one cluster.",ok
Design and analysis of heat transfer on a customized eco-print batik steamer with automatic temperature and time control using Computer Fluid Dynamic (CFD),"Sari, H.N.| Mahmud, R.| Susanti, N.A.| Rahayu, I.A.T.| Umaroh, S.T.| Budijono, A.P.",6.0,58779048200| 57202390305| 57212308761| 58778878100| 58778878200| 57193696400,2023.0,2023-11-29,E3S Web of Conferences,450,-,-,02002,ISSN-25550403,21100795900.0,Conference Proceeding,English,0.4,71,0.9,77,-,-,0.52,7.0,0.0,0.0,1.56,73.0,73.0,0.0,0.0,"Sari, H.N., Mahmud, R., Susanti, N.A. and 3 more (...) (2023).Design and analysis of heat transfer on a customized eco-print batik steamer with automatic temperature and time control using Computer Fluid Dynamic (CFD). E3S Web of Conferences,450",https://www.scopus.com/record/display.url?eid=2-s2.0-85180605957&origin=resultslist,10.1051/e3sconf/202345002002,Conference Paper,Gold,2-s2.0-85180605957,-,Meiji University| Universitas Negeri Surabaya,2.0,60105082| 60022180,Universitas Negeri Surabaya| Meiji University,58779048200,57193696400,58779048200,-,Indonesia| Japan,2.0,1900| 2100| 2300,General Earth and Planetary Sciences| General Energy| General Environmental Science,4| 2,Natural Sciences| Engineering & Technology,249| 221| 424| 450| 416| 451,Engineering - Petroleum| Engineering - Electrical & Electronic| Environmental Sciences| Geology| Earth & Marine Sciences| Geophysics,36| 37,Engineering| Physical Sciences,51| 40,Physical Sciences| Engineering,4005| 4017| 5199,Civil engineering| Mechanical engineering| Other physical sciences,-,Additive Manufacturing and Corrosion Resistance,133,98.627,Laser Cladding Techniques in Additive Manufacturing,5432,97.956,Definitive,"The process of making eco-print batik carried out by eco-print batik industry players still uses conventional methods with steaming pans. The conventional method used has a quite crucial impact on the equipment used, the bottom of the pan is susceptible to damage because it is used continuously for quite a long time. To overcome this problem, a steamer design will be created specifically for eco-print batik using Solid Work software. Following the completion of the design, this research investigates how the heat transfer process occurs, the circumstances of the heat flux created, and the temperature during the heating process using computer fluid dynamics (CFD) with simulation methods as an approach to real conditions. Observations were made in 300s, 600s, 900s, 1200s. The steamer material employed in this simulation is stainless steel 304, and the simulation results show that the steamer's heating temperature is. Based on the simulation results of high pressure in closed system conditions and the influence of materials with good thermal conductivity on the steamer, which have an impact on increasing temperature and heat flux during the process, through these considerations, the steamer is designed to be equipped with temperature control and a safety valve which functions to release pressure. steam when excessive. In this way, the steamer will be more effective and efficient in terms of time, heating, and the quality of the batik results that will be produced later when compared to the pan used previously.",ok
