Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"Pattern Recognition in Computational Thinking: Semiotic Perspective","Susanti, R.D.| Lukito, A.| Ekawati, R.","3","57211859209| 7801325896| 57210812993","2024","2024-09-01","Mathematics Teaching-Research Journal","16","5","218-239","-","ISSN-25734377","21100933994","Journal","English","1.12","24","1.7","36","0.301","61","1.44","13","0","0.0","1.85","60","60","0","0","Susanti, R.D., Lukito, A., Ekawati, R. (2024).Pattern Recognition in Computational Thinking: Semiotic Perspective. Mathematics Teaching-Research Journal,16(5) 218-239","https://www.scopus.com/record/display.url?eid=2-s2.0-85209754089&origin=resultslist","-","Article","","2-s2.0-85209754089","-","Universitas Muhammadiyah Malang| Universitas Negeri Surabaya","2","60105082| 60087597","Universitas Negeri Surabaya| Universitas Muhammadiyah Malang","57211859209","57210812993","57211859209","-","Indonesia","1","2600| 3304","General Mathematics| Education","4| 3","Natural Sciences| Social Sciences & Management","431| 318","Mathematics| Education & Training","41| 37","Education Studies| Physical Sciences","49| 39| 51","Mathematical Sciences| Education| Physical Sciences","3903| 4999| 5199","Education systems| Other mathematical sciences| Other physical sciences","-","Integration of Robotics and Computational Thinking in Education","877","85.415","Integrating Computational Thinking in Education","740","99.631","Definitive"
"4th Mathematics, Informatics, Science and Education International Conference","Susiyawati, E.","1","56957150800","2021","2021-02-18","Journal of Physics: Conference Series","1747","1","-","011001","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","0.85","6","0","0.0","0.57","81","79","0","0","Susiyawati, E. (2021).4th Mathematics, Informatics, Science and Education International Conference. Journal of Physics: Conference Series,1747(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85101836121&origin=resultslist","10.1088/1742-6596/1747/1/011001","Editorial","Gold","2-s2.0-85101836121","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","-","-","56957150800","56957150800","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","-","-","-","-","-","-","-","-"
"Magnetic driven electrical conductivity and band gap energy of SrTi1-XCrxO3","Luthfiyah, I.| Diantoro, M.| Sa'adah, U.| Himmah, S.W.| Wisodo, H.| Supardi, Z.A.I.| Hidayat, A.","7","57219173823| 6603239845| 57204622752| 57208741443| 57190934714| 6508147948| 59947764500","2020","2020-08-18","AIP Conference Proceedings","2251","-","-","040003","ISSN-0094243X","26916","Conference Proceeding","English","0.34","74","0.7","83","-","-","0.74","16","0","0.0","1.64","83","78","0","0","Luthfiyah, I., Diantoro, M., Sa'adah, U. and 4 more (...) (2020).Magnetic driven electrical conductivity and band gap energy of SrTi1-XCrxO3. AIP Conference Proceedings,2251","https://www.scopus.com/record/display.url?eid=2-s2.0-85091589617&origin=resultslist","10.1063/5.0015818","Conference Paper","","2-s2.0-85091589617","-","State University of Malang| Universitas Negeri Surabaya","2","60104775| 60105082","Universitas Negeri Malang| Universitas Negeri Surabaya","57219173823","59947764500","6603239845","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Thermoelectric Materials and Their Performance Optimization","268","91.367","Thermoelectric Properties of Oxide Materials","5136","94.548","Very Good"
"Module for Developing Learning Media Applications for Wireless Networks in Project-Based Microtic Hotspot Materials for Microtic Setup (Configuration) Competency Improvement","Indriyanti, A.D.| Prehanto, D.R.| Wibawa, S.C.| Prihanto, A.| Sujatmiko, B.| Samastabuana, D.E.| Wibawa, R.P.","7","57211891237| 57211886935| 57200035291| 57201350852| 57214700040| 57219227976| 58695425300","2020","2020-07-23","Journal of Physics: Conference Series","1569","2","-","022017","ISSN-17426588","130053","Conference Proceeding","English","0.47","66","0.7","82","0.21","78","0.49","21","0","0.0","1.64","83","78","0","0","Indriyanti, A.D., Prehanto, D.R., Wibawa, S.C. and 4 more (...) (2020).Module for Developing Learning Media Applications for Wireless Networks in Project-Based Microtic Hotspot Materials for Microtic Setup (Configuration) Competency Improvement. Journal of Physics: Conference Series,1569(2) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85091803569&origin=resultslist","10.1088/1742-6596/1569/2/022017","Conference Paper","Gold","2-s2.0-85091803569","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57211891237","58695425300","-","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 4","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Innovative Learning Approaches in Secondary Physics Education","72585","64.655","Definitive"
"Accountability in sme islamic entrepreneurship during the covid-19 pandemic","Kusumaningtias, R.| Kamaluddin, A.| Ismail, A.H.| Pujiono| Venusita, L.| Putra, R.","6","57215487512| 55921983100| 57196186153| 57200392519| 57201351429| 57225804837","2021","2021-08-01","Management and Accounting Review","20","2","161-178","-","ISSN-26007975","21101041870","Journal","English","0.17","86","0.5","88","0.118","95","2.94","137","0","0.0","12.62","81","79","0","0","Kusumaningtias, R., Kamaluddin, A., Ismail, A.H. and 3 more (...) (2021).Accountability in sme islamic entrepreneurship during the covid-19 pandemic. Management and Accounting Review,20(2) 161-178","https://www.scopus.com/record/display.url?eid=2-s2.0-85115611800&origin=resultslist","10.24191/MAR.V20i02-07","Article","Gold","2-s2.0-85115611800","-","Universitas Negeri Surabaya| Universiti Teknologi MARA","2","60105082| 60004351","Universitas Negeri Surabaya| Universiti Teknologi MARA","57215487512","57225804837","57215487512","-","Indonesia| Malaysia","2","1402| 1408| 2002| 2003","Accounting| Strategy and Management| Economics and Econometrics| Finance","3","Social Sciences & Management","301| 308| 317","Accounting & Finance| Business & Management Studies| Economics & Econometrics","35","Business and Economics","35","Commerce, Management, Tourism And Services","3502| 3507| 3501","Banking, finance and investment| Strategy, management and organisational behaviour| Accounting, auditing and accountability","SDG 4","Income Inequality and Financial Literacy Dynamics","724","77.829","SME Development and Economic Resilience in Indonesia","25875","25.17","Defensible"
"Getting to know the last five years trend on microcontroller research: A bibliometric analysis","Yantidewi, M.| Jatmiko, B.| Sucahyo, I.| Kholiq, A.| Lestari, N.A.| Deta, U.A.","6","57193133954| 57191163601| 57201673484| 59253333500| 57201959687| 55872927700","2021","2021-11-25","Journal of Physics: Conference Series","2110","1","-","012006","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","0.93","15","0","0.0","1.94","81","79","0","0","Yantidewi, M., Jatmiko, B., Sucahyo, I. and 3 more (...) (2021).Getting to know the last five years trend on microcontroller research: A bibliometric analysis. Journal of Physics: Conference Series,2110(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85121434810&origin=resultslist","10.1088/1742-6596/2110/1/012006","Conference Paper","Gold","2-s2.0-85121434810","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57193133954","55872927700","57193133954","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 7","Peer Review Dynamics in Biomedical Research Networks","101","86.593","Bibliometric Insights into Research Development Trends","17828","99.522","Defensible"
"First Year Conception of Students in the Concept of Atom and Periodec System Elements","Yonata, B.| Novita, D.| Azizah, U.| Mitarlis","4","57200374868| 58059987500| 57190445934| 57199402694","2020","2020-01-01","Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019","-","-","-","-","-","21101083160","Conference Proceeding","English","-","-","-","-","-","-","0.12","5","0","0.0","3.7","83","78","0","0","Yonata, B., Novita, D., Azizah, U. and 1 more (...) (2020).First Year Conception of Students in the Concept of Atom and Periodec System Elements. Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019,","https://www.scopus.com/record/display.url?eid=2-s2.0-85127551392&origin=resultslist","10.4108/eai.12-10-2019.2296339","Conference Paper","Bronze","2-s2.0-85127551392","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57200374868","57199402694","57200374868","-","Indonesia","1","1700| 2600| 3304","General Computer Science| General Mathematics| Education","3| 2| 4","Social Sciences & Management| Engineering & Technology| Natural Sciences","431| 212| 318","Mathematics| Computer Science & Information Systems| Education & Training","41| 38| 37","Education Studies| Computer Science| Physical Sciences","-","-","-","-","-","Integrating Science Education for Student Success","310","75.801","Understanding Chemical Concepts throughStudent Engagement","2330","92.1","Definitive"
"Analysis of the use of mathematic animation video as a line learning alternative to learning motivation","Wiryanto, W.| Mariana, N.| Budiyono, B.| Rahmawati, I.| Indrawati, D.| Rachmadiyanti, P.| Mintohari, M.","7","57226808591| 57209240936| 55191250000| 57223172945| 57226073105| 57226806549| 57226817597","2021","2021-08-04","Journal of Physics: Conference Series","1987","1","-","012040","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","2.65","50","0","0.0","1.94","81","79","0","0","Wiryanto, W., Mariana, N., Budiyono, B. and 4 more (...) (2021).Analysis of the use of mathematic animation video as a line learning alternative to learning motivation. Journal of Physics: Conference Series,1987(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85112779958&origin=resultslist","10.1088/1742-6596/1987/1/012040","Conference Paper","Gold","2-s2.0-85112779958","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57226808591","57226817597","57226808591","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 4","Health Impacts of Climate Change and Ergonomics","381","90.582","Challenges of Medical Waste Management During COVID-19","25099","95.556","Defensible"
"The development of geometry test to analyze students' creative thinking skills in the area of square formula derivation","Aini, N.R.| Susanto, S.| Yudianto, E.| Wijaya, H.T.| Cahyanita, E.","5","57214675374| 58142528500| 57194043864| 57225470926| 57222638268","2021","2021-03-23","Journal of Physics: Conference Series","1836","1","-","012050","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","0.74","15","0","0.0","1.94","81","79","0","0","Aini, N.R., Susanto, S., Yudianto, E. and 2 more (...) (2021).The development of geometry test to analyze students' creative thinking skills in the area of square formula derivation. Journal of Physics: Conference Series,1836(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85103557884&origin=resultslist","10.1088/1742-6596/1836/1/012050","Conference Paper","Gold","2-s2.0-85103557884","-","State University of Malang| University of Jember| Universitas Negeri Surabaya","3","60069412| 60104775| 60105082","Universitas Jember| Universitas Negeri Malang| Universitas Negeri Surabaya","57214675374","57222638268","-","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","-","Data Visualization Techniques for Enhanced User Engagement","1054","31.458","User-Centric Data Visualization and Cognitive Performance","54811","43.905","Defensible"
"Innovation assessment with employability skills for vocational students in the electrical field","Sulistiyo, E.| Wibawa, S.C.","2","57201861048| 57200035291","2020","2020-05-18","IOP Conference Series: Materials Science and Engineering","830","4","-","042092","ISSN-17578981","19700200831","Conference Proceeding","English","0.5","64","0.7","77","-","-","1.5","35","0","0.0","2.98","83","78","0","0","Sulistiyo, E., Wibawa, S.C. (2020).Innovation assessment with employability skills for vocational students in the electrical field. IOP Conference Series: Materials Science and Engineering,830(4) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85086264761&origin=resultslist","10.1088/1757-899X/830/4/042092","Conference Paper","Gold","2-s2.0-85086264761","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57201861048","57200035291","-","-","Indonesia","1","2200| 2500","General Engineering| General Materials Science","2","Engineering & Technology","433","Materials Science","36","Engineering","MD","Multidisciplinary","MD","Multidisciplinary","SDG 4","Psychometrics and Rasch Analysis in Education Assessment","1298","20.994","Needle Fixation and Social Media Dynamics","32229","65.782","Definitive"
"Design of Competency Test Model for Electrical Installation Automation Based Project Learning for Electrical Engineering Students","Haryudo, S.I.| Ekohariadi| Munoto| Wibawa, S.C.| Achmad, F.| Sulistyo, E.","6","57202236759| 57195553791| 57200567181| 57200035291| 57220050969| 59159900800","2020","2020-10-03","Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020","-","-","-","9243271","-","21101028410","Conference Proceeding","English","-","-","-","-","-","-","0.67","13","0","0.0","5.47","83","78","0","0","Haryudo, S.I., Ekohariadi, Munoto and 3 more (...) (2020).Design of Competency Test Model for Electrical Installation Automation Based Project Learning for Electrical Engineering Students. Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020,","https://www.scopus.com/record/display.url?eid=2-s2.0-85096686744&origin=resultslist","10.1109/ICVEE50212.2020.9243271","Conference Paper","","2-s2.0-85096686744","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57202236759","59159900800","-","-","Indonesia","1","1708| 1710| 2208| 3304","Hardware and Architecture| Information Systems| Electrical and Electronic Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","249| 318| 221| 212","Engineering - Petroleum| Education & Training| Engineering - Electrical & Electronic| Computer Science & Information Systems","41| 38| 36","Education Studies| Computer Science| Engineering","40| 51","Engineering| Physical Sciences","4008| 5199| 4009","Electrical engineering| Other physical sciences| Electronics, sensors and digital hardware","SDG 9","Digital Twin Integration in Smart Manufacturing Systems","1057","98.3","Integration of Cyber Physical Systems in Industry 4.0","342","99.971","Very Good"
"Simultaneous detection of monacolins and citrinin of angkak produced by monascus purpureus strains using liquid chromatography-mass spectrometry (LC-MS/MS)","Sulandari, L.| Utami, T.| Hidayat, C.| Rahayu, E.S.","4","57212254259| 57193703827| 6507266309| 57870973300","2021","2021-02-01","Food Research","5","1","349-356","-","ISSN-25502166","21100904224","Journal","English","0.68","51","1.2","70","0.233","67","1.12","34","0","0.0","13.13","81","79","0","0","Sulandari, L., Utami, T., Hidayat, C. and 1 more (...) (2021).Simultaneous detection of monacolins and citrinin of angkak produced by monascus purpureus strains using liquid chromatography-mass spectrometry (LC-MS/MS). Food Research,5(1) 349-356","https://www.scopus.com/record/display.url?eid=2-s2.0-85102381794&origin=resultslist","10.26656/fr.2017.5(1).333","Article","Gold","2-s2.0-85102381794","-","Gadjah Mada University| Universitas Negeri Surabaya","2","60105082| 60069380","Universitas Negeri Surabaya| Universitas Gadjah Mada","57212254259","57870973300","57870973300","-","Indonesia","1","1106","Food Science","5","Life Sciences & Medicine","502","Agriculture & Forestry","32","Life Sciences","51| 32| 30","Physical Sciences| Biomedical And Clinical Sciences| Agricultural, Veterinary And Food Sciences","5199| 3214| 3006","Other physical sciences| Pharmacology and pharmaceutical sciences| Food sciences","-","Mycotoxin Detection and Impact on Health","642","76.39","Monascus Pigments and Cholesterol Management in Diets","7189","95.355","Definitive"
"Implementation of REDD+ Policies in Indonesia to Reducing Deforestation Amid Rising Earth's Temperature","Pradana, G.W.| Djaing, H.| Kurniawan, B.| Febriani, A.P.","4","57201200162| 58071795800| 57201199798| 57216863723","2022","2022-01-01","IOP Conference Series: Earth and Environmental Science","1111","1","-","012043","ISSN-17551307","19900195068","Conference Proceeding","English","0.26","81","0.8","78","-","-","0.85","14","0","0.0","2.06","79","79","0","0","Pradana, G.W., Djaing, H., Kurniawan, B. and 1 more (...) (2022).Implementation of REDD+ Policies in Indonesia to Reducing Deforestation Amid Rising Earth's Temperature. IOP Conference Series: Earth and Environmental Science,1111(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85146603687&origin=resultslist","10.1088/1755-1315/1111/1/012043","Conference Paper","Gold","2-s2.0-85146603687","-","Universitas Hasanuddin| Universitas Negeri Surabaya","2","60105082| 60069390","Universitas Negeri Surabaya| Hasanuddin University","57201200162","57216863723","-","-","Indonesia","1","1900| 2300","General Earth and Planetary Sciences| General Environmental Science","2| 4","Engineering & Technology| Natural Sciences","424| 249| 416| 451| 450","Environmental Sciences| Engineering - Petroleum| Earth & Marine Sciences| Geophysics| Geology","37","Physical Sciences","30| 41| 37","Agricultural, Veterinary And Food Sciences| Environmental Sciences| Earth Sciences","-","-","SDG 13| SDG 15","Integrating Community Forestry and Environmental Governance","1065","47.809","REDD+ Framework for Climate Change Mitigation","3282","93.382","Definitive"
"Feed Conditions Preference for type Ant (Oecophyla smaragdina) In Morphometric Swiftlet (Aerodramus fuciphagus)","Kuntjoro, S.| Rachmadiarti, F.| Hidajati, H.F.","3","57209025085| 57195929051| 57562645100","2020","2020-01-01","Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019","-","-","-","-","-","21101083160","Conference Proceeding","English","-","-","-","-","-","-","0.24","5","0","0.0","3.7","83","78","0","0","Kuntjoro, S., Rachmadiarti, F., Hidajati, H.F. (2020).Feed Conditions Preference for type Ant (Oecophyla smaragdina) In Morphometric Swiftlet (Aerodramus fuciphagus). Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019,","https://www.scopus.com/record/display.url?eid=2-s2.0-85127573596&origin=resultslist","10.4108/eai.12-10-2019.2296355","Conference Paper","Bronze","2-s2.0-85127573596","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57209025085","57562645100","57209025085","-","Indonesia","1","1700| 2600| 3304","General Computer Science| General Mathematics| Education","4| 2| 3","Natural Sciences| Engineering & Technology| Social Sciences & Management","318| 431| 212","Education & Training| Mathematics| Computer Science & Information Systems","38| 41| 37","Computer Science| Education Studies| Physical Sciences","-","-","-","-","-","Bioactive Peptides and Antioxidant Properties in Health","953","73.578","Nutritional and Ecological Insights of Edible Bird's Nests","36504","81.801","Defensible"
"Numerical study on masonry infill wall by using in-plane element and joint interface with RC frame","Sofianto, M.F.| Imaduddin, M.| Zega, B.C.","3","57194650465| 57218381024| 57193526071","2020","2020-07-23","Journal of Physics: Conference Series","1569","4","-","042024","ISSN-17426588","130053","Conference Proceeding","English","0.47","66","0.7","82","0.21","78","1.18","22","0","0.0","1.64","83","78","0","0","Sofianto, M.F., Imaduddin, M., Zega, B.C. (2020).Numerical study on masonry infill wall by using in-plane element and joint interface with RC frame. Journal of Physics: Conference Series,1569(4) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85088974232&origin=resultslist","10.1088/1742-6596/1569/4/042024","Conference Paper","Gold","2-s2.0-85088974232","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57194650465","57193526071","-","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 11","Seismic Resilience in Structural Design and Analysis","328","87.443","Seismic Performance of Infilled Reinforced Concrete Structures","6335","95.147","Definitive"
"The Preventive Efficacy of Selenium Supplements on Muscle Soreness Post Heavy Eccentric Exercise","Sudijandoko, A.| Irawan, R.J.","2","57250802500| 57204969355","2024","2024-07-25","International Journal of Disabilities Sports and Health Sciences","7","4","859-866","-","ISSN-26459094","21101098814","Journal","English","0.32","77","-","-","0.158","88","0.79","10","0","0.0","2.19","60","60","0","0","Sudijandoko, A., Irawan, R.J. (2024).The Preventive Efficacy of Selenium Supplements on Muscle Soreness Post Heavy Eccentric Exercise. International Journal of Disabilities Sports and Health Sciences,7(4) 859-866","https://www.scopus.com/record/display.url?eid=2-s2.0-85199462592&origin=resultslist","10.33438/ijdshs.1478730","Article","Gold|Green","2-s2.0-85199462592","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57250802500","57204969355","57250802500","-","Indonesia","1","2732| 3306| 3319| 3612","Orthopedics and Sports Medicine| Health (social science)| Life-span and Life-course Studies| Physical Therapy, Sports Therapy and Rehabilitation","3| 5","Social Sciences & Management| Life Sciences & Medicine","342| 343| 532","Sociology| Sports-related Subjects| Medicine","34| 40| 32","Medical and Health| Social Sciences| Life Sciences","-","-","-","-","-","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","Muscle Injury and Recovery in Athletes","4946","90.882","Definitive"
"Optimizing talent identification and development in finswimming athletes: Challenges and innovative solutions","Rizky, M.Y.| Kusnanik, N.W.| Wiriawan, O.| Hariyanto, A.| Marsudi, I.| Lumintuarso, R.| Anugrah, S.M.| Resmana, D.","8","59411290100| 57195430173| 57200374593| 57202818459| 58304624700| 57215586236| 58045201500| 57315817500","2024","2024-01-01","Fizjoterapia Polska","2024","4","13-19","-","ISSN-16420136","16355","Journal","English","0.14","90","0.3","94","0.12","97","1.24","18","0","0.0","1.94","60","60","0","0","Rizky, M.Y., Kusnanik, N.W., Wiriawan, O. and 5 more (...) (2024).Optimizing talent identification and development in finswimming athletes: Challenges and innovative solutions. Fizjoterapia Polska,2024(4) 13-19","https://www.scopus.com/record/display.url?eid=2-s2.0-85209121859&origin=resultslist","10.56984/8ZG01A8G1H7","Article","","2-s2.0-85209121859","-","Yogyakarta State University| Universitas Negeri Surabaya| State University of Jakarta| Sultan Ageng Tirtayasa University","4","60105082| 60087601| 60109646| 60105171","Universitas Negeri Surabaya| Universitas Negeri Yogyakarta| Universitas Sultan Ageng Tirtayasa| Universitas Negeri Jakarta","59411290100","57315817500","59411290100","-","Indonesia","1","3612","Physical Therapy, Sports Therapy and Rehabilitation","5","Life Sciences & Medicine","343","Sports-related Subjects","34","Medical and Health","42","Health Sciences","4203| 4201| 4207","Health services and systems| Allied health and rehabilitation science| Sports science and exercise","-","Enhancing Athletic Performance through Muscle and Gait Analysis","57","92.413","Performance Factors in Competitive Swimming Dynamics","3869","94.4","Definitive"
"Analysis of safety factors in wheelchair frames for stroke sufferers","Ihsan, N.| Yunus, M.| Adri, J.| Arafat, A.| Komaini, A.| Mario, D.T.| Ayubi, N.| Karacam, A.| Németh, Z.| Ockta, Y.","10","57190938412| 57247941200| 57216442168| 55992578000| 57193789399| 57285881100| 57537497000| 59462109100| 57211313350| 58798700600","2024","2024-01-01","Journal of Optimization in Industrial Engineering","17","2","195-203","-","ISSN-22519904","21100903447","Journal","English","0.3","79","2.9","44","0.181","73","0.46","9","0","0.0","5.88","60","60","0","0","Ihsan, N., Yunus, M., Adri, J. and 7 more (...) (2024).Analysis of safety factors in wheelchair frames for stroke sufferers. Journal of Optimization in Industrial Engineering,17(2) 195-203","https://www.scopus.com/record/display.url?eid=2-s2.0-85213213503&origin=resultslist","10.22094/QJIE.2024.1128550","Article","","2-s2.0-85213213503","-","State University of Malang| State University of Padang| Bandırma Onyedi Eylül University| Universitas Negeri Surabaya| University of Pecs","5","60105184| 60104775| 60105082| 60197897| 60004737","Universitas Negeri Padang| Universitas Negeri Malang| Universitas Negeri Surabaya| Bandırma Onyedi Eylül University| Pécsi Tudományegyetem","57190938412","58798700600","57190938412","-","Indonesia| Turkey| Hungary","3","2209","Industrial and Manufacturing Engineering","2","Engineering & Technology","222","Engineering - Mechanical","36","Engineering","35| 40","Commerce, Management, Tourism And Services| Engineering","4014| 3509| 3507","Manufacturing engineering| Transportation, logistics and supply chains| Strategy, management and organisational behaviour","SDG 3| SDG 9","Language Development and Literacy Challenges in Children","229","73.316","Assistive Technology for Enhanced User Independence","7500","86.144","Definitive"
"Constructing mathematical proofs through abductive reasoning","Widadah, S.| Siswono, T.Y.E.| Ekawati, R.","3","57205022875| 57959538100| 57210812993","2024","2024-01-01","Review of Science, Mathematics and ICT Education","18","2","29-48","-","ISSN-1791261X","21101164613","Journal","English","0.65","52","0.8","73","0.152","88","0.64","7","0","0.0","2.2","60","60","0","0","Widadah, S., Siswono, T.Y.E., Ekawati, R. (2024).Constructing mathematical proofs through abductive reasoning. Review of Science, Mathematics and ICT Education,18(2) 29-48","https://www.scopus.com/record/display.url?eid=2-s2.0-85212265706&origin=resultslist","10.26220/rev.5025","Article","","2-s2.0-85212265706","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57205022875","57210812993","-","-","Indonesia","1","2601| 2610| 3204| 3304","Mathematics (miscellaneous)| Mathematical Physics| Developmental and Educational Psychology| Education","4| 3","Natural Sciences| Social Sciences & Management","439| 431| 318| 541","Physics & Astronomy| Mathematics| Education & Training| Psychology","39| 41| 37","Psychology| Education Studies| Physical Sciences","-","-","-","-","-","Mathematics Education and Teacher Development Insights","472","69.065","Argumentation and Proof in Mathematics Education","7369","86.219","Definitive"
"Validation of Parabrachidontes, a new genus of fresh-and brackish-water mussels (Bivalvia: Mytilidae) from Southeast Asia with a redescription of the type species and P. amnicus Tan et al., 2023","Tan, K.S.| Tan, S.H.M.| Sanpanich, K.| Duangdee, T.| Ambarwati, R.","5","35114196400| 57224072773| 14319208500| 56942504100| 57216337498","2024","2024-01-01","Raffles Bulletin of Zoology","72","-","214-218","-","ISSN-02172445","23362","Journal","English","0.86","38","1.8","55","0.424","37","1.16","10","0","0.0","2.11","60","60","0","0","Tan, K.S., Tan, S.H.M., Sanpanich, K. and 2 more (...) (2024).Validation of Parabrachidontes, a new genus of fresh-and brackish-water mussels (Bivalvia: Mytilidae) from Southeast Asia with a redescription of the type species and P. amnicus Tan et al., 2023. Raffles Bulletin of Zoology,72214-218","https://www.scopus.com/record/display.url?eid=2-s2.0-85201280225&origin=resultslist","10.26107/RBZ-2024-0018","Article","","2-s2.0-85201280225","-","University of Maine| Kasetsart University| National University of Singapore| Universitas Negeri Surabaya| Burapha University","5","60017161| 60008279| 60009116| 60021944| 60105082","National University of Singapore| University of Maine| Burapha University| Kasetsart University| Universitas Negeri Surabaya","35114196400","57216337498","35114196400","-","Indonesia| Singapore| United States| Thailand","4","1103| 1105","Animal Science and Zoology| Ecology, Evolution, Behavior and Systematics","5","Life Sciences & Medicine","502","Agriculture & Forestry","32","Life Sciences","31","Biological Sciences","3109","Zoology","-","Diversity and Evolution of Marine Meiofauna","1447","5.363","Phylogenetic Relationships and Diversity in Bivalvia","17878","50.401","Defensible"
