ID,Name,Department
5996469,SUPARI,Unknown
6010254,ANDHEGA WIJAYA,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
5998535,ANDRE DWIJANTO WITJAKSONO,Manajemen (S2)
6009931,REZA RAHMADIAN,Teknik Listrik (D4)
6010798,SYAMSUL SODIQ,Pendidikan Bahasa Indonesia (S2)
6195964,RIVO PANJI YUDHA,Penelitian dan Evaluasi Pendidikan (S3)
5994726,IMAMI ARUM TRI RAHAYU,Pendidikan Tata Busana (S1)
6008053,ANDI KRISTANTO,Teknologi Pendidikan (S1)
6095375,FITRI NORHABIBA,Ilmu Komunikasi (S1)
6009644,KHUSNUL FIKRIYAH,Ekonomi Islam (S1)
6009561,NORIDA CANDA SAKTI,Pendidikan Ekonomi (S3)
6716118,AMALIA RUHANA,Gizi (S1)
5993420,BENI SETIAWAN,Pendidikan Sains (S2)
6010280,EVI WININGSIH,Bimbingan dan Konseling (S2)
6182450,NANANG HOESEN HIDROES ABBRORI,Bisnis Digital (S1)
6009762,TRI SUDARWANTO,Pendidikan Bisnis (S1)
6727556,TUTUR JATMIKO,Kepelatihan Olahraga (D4)
6113930,LISNANI,Pendidikan Matematika (Kampus Kabupaten Magetan) (S1)
6822119,ANITA SAFITRI,Bisnis Digital (S1)
6014392,MITA ANGGARYANI,Pendidikan Fisika (S1)
6010957,PARASTUTI,Pendidikan Bahasa Jepang (S1)
5995991,AGUS SUPRIJONO,Pendidikan Ilmu Pengetahuan Sosial (S3)
6011203,ARI KHUSUMADEWI,Bimbingan dan Konseling (S2)
5986806,DYAH HARIANI,Biologi (S1)
6039616,AMROZI KHAMIDI,Manajemen Pendidikan (S3)
6760058,ROHIM AMINULLAH FIRDAUS,Fisika (S2)
6009839,OLIEVIA PRABANDINI MULYANA,Psikologi (S1)
5998365,RIFQI FIRMANSYAH,Teknik Elektro (S1)
6008867,NI NYOMAN ALIT TRIANI,Akuntansi (S2)
5981585,RETNO MUSTIKA DEWI,Pendidikan Ekonomi (S1)
6741474,HERI WAHYUDI,Ilmu Keolahragaan (S2)
6160631,FAJAR ARIANTO,Teknologi Pendidikan (S3)
6816887,TEGUH DWI PUTRANTO,Ilmu Komunikasi (S1)
6009301,INDAH PRABAWATI,Ilmu Administrasi Negara (S1)
6010515,FAFI INAYATILLAH,Pendidikan Bahasa Dan Sastra Indonesia (S1)
6010277,TJIPTO PRASTOWO,Fisika (S1)
6010304,DZULKIFLIH,Fisika (S1)
5995949,SUSANAH,Pendidikan Matematika (S2)
6008925,HIMAWAN WISMANADI,Ilmu Keolahragaan (S2)
5998841,ROHMAWATI KUSUMANINGTIAS,Akuntansi (S1)
6727770,ACH. YASIN,Ekonomi Islam (S1)
6009076,ERNY ROESMININGSIH,Manajemen Pendidikan (S3)
6008674,MOCH. KHOIRUL ANWAR,Perekonomian Islam dan Industri Halal (S2)
6009392,AGUNG PRIJO BUDIJONO,Teknik Mesin (S1)
6706081,R. ENDRO WIBISONO,Transportasi (D4)
6160721,RUQOYYAH FITRI,Pendidikan Anak Usia Dini (S2)
6703916,ADITYA CHANDRA SETIAWAN,Manajemen Pendidikan (S1)
6009655,SUJARWANTO,Pendidikan Inklusi (S3)
6010322,ISMAIL,Pendidikan Matematika (S3)
6010707,SUSANTI,Pendidikan Ekonomi (S3)
6798458,MUHAMMAD HILMY AZIZ,Ilmu Komunikasi (S1)
5996798,ABADI,Matematika (S1)
6010512,ABDUL RACHMAN SYAM TUASIKAL,Pendidikan Jasmani (S3)
6007508,SUYONO,Pendidikan Kimia (S1)
6758057,KOLEKTUS OKY RISTANTO,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
6008396,BUDI PURWOKO,Bimbingan Konseling (S3)
6010393,LISA LISDIANA,Biologi (S1)
5975630,ASIDIGISIANTI SURYA PATRIA,Desain Grafis (D4)
5992774,SITI KHABIBAH,Pendidikan Matematika (S3)
6008664,KETUT PRASETYO,Pendidikan Ilmu Pengetahuan Sosial (S3)
6908675,ALI HASBI RAMADANI,Pendidikan Teknik Mesin (S1)
6657820,NURKHOLIS,Pendidikan Olahraga (S2)
6099233,IMAM MARSUDI,Kepelatihan Olahraga (S2)
6135845,ANGGA MARTHA MAHENDRA,Pendidikan Bisnis (S1)
6010684,PRIMA RETNO WIKANDARI,Kimia (S1)
6706089,BAYU BUDI PRAKOSO,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
6009365,FARID PRIBADI,Sosiologi (S1)
6010312,INDRA HIMAWAN SUSANTO,Masase (S1)
6010386,DJULI DJATIPRAMBUDI,Pendidikan Seni (S3)
5988863,DINA KARTIKA MAHARANI,Kimia (S1)
6008930,CLARASHINTA CANGGIH,Ekonomi Islam (S1)
6758899,MUHIMMATUL KHOIRO,Fisika (S2)
5989596,WIWIK SRI UTAMI,Pendidikan Geografi (S1)
5994422,WARIH HANDAYANINGRUM,Pendidikan Seni (S3)
74421,ALI MAKSUM,Pendidikan Olahraga (S2)
6010854,BUDIYANTO,Pendidikan Inklusi (S3)
6770284,RIZKY BASATHA,Pendidikan Teknologi Informasi (S1)
6007930,MUSTAJI,Teknologi Pendidikan (S3)
5993749,RAHARJO,Pendidikan Biologi (S2)
5989575,HERLINA FITRIHIDAJATI,Pendidikan Biologi (S1)
6756987,ONNY FRANSINATA ANGGARA,Psikologi (S1)
6010636,SITI MASITOH,Pendidikan Inklusi (S3)
6742737,ANITA SUSANTI,Transportasi (D4)
6010545,FIRMAN YASA UTAMA,Teknik Mesin (D4)
6011548,HENY SUBANDIYAH,Unknown
6009330,ARINTO NUGROHO,Ilmu Hukum (S1)
5993938,SRI HANDAJANI,Pendidikan Tata Boga (S1)
6009534,TRIESNINDA PAHLEVI,Pendidikan Administrasi Perkantoran (S1)
6009723,NUR IKA SARI RAKHMAWATI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
6762452,RAHMAD AJI PRASETYA,Kimia (S1)
5998534,YESSY ARTANTI,Manajemen (S2)
6765144,BONDA SISEPHAPUTRA,Informatika (Kampus Kabupaten Magetan) (S1)
5993994,WASIS,Pendidikan Fisika (S2)
6668403,DEBY FEBRIYAN EPRILIANTO,Ilmu Administrasi Negara (S1)
6013615,ANDIK YULIYANTO,Sastra Indonesia (S1)
6868051,MUHAIMIN ABDULLAH,Pendidikan Bahasa Inggris (S2)
6008673,RINIE PRATIWI PUSPITAWATI,Pendidikan Biologi (S1)
6729639,MUHAMMAD KRIS YUAN HIDAYATULLOH,Pendidikan Teknik Bangunan (S1)
5998524,MUTIMMATUL FAIDAH,Pendidikan Tata Rias (Kampus Kabupaten Magetan) (S1)
6100052,UTIYA AZIZAH,Pendidikan Kimia (S1)
6772574,RENDRA ARIEF HIDAYAT,Akuntansi (S1)
6687911,JOKO,Pendidikan Vokasi (S3)
5995441,SITI SRI WULANDARI,Pendidikan Ekonomi (S3)
5988972,MITARLIS,Pendidikan Kimia (S1)
6196418,RISKA DHENABAYU,Bisnis Digital (S1)
6716818,SHELLY ANDARI,Manajemen Pendidikan (S1)
6008429,MARIA VERONIKA ROESMININGSIH,Unknown
5992523,BAMBANG SABARIMAN,Teknik Sipil (S1)
6010142,SITI MAIZUL HABIBAH,Pendidikan Pancasila Dan Kewarganegaraan (S1)
5972822,AGUS WIYONO,Perencanaan Wilayah dan Kota (S1)
6718498,SRI SETYOWATI,Pendidikan Anak Usia Dini (S2)
131256,NUANSA BAYU SEGARA,Pendidikan IPS (S2)
6029952,DHIYAN SEPTA WIHARA,Bisnis Digital (S1)
5998502,TONY SENO AJI,Ekonomi (S1)
74666,SUSI HANDAYANI,Akuntansi (S1)
6009744,RACHMA INDRARINI,Ekonomi Islam (S1)
6010308,META YANTIDEWI,Fisika (S1)
5993258,FARIDHA NURHAYATI,Pendidikan Profesi Guru (Profesi)
6009678,AGUS FRIANTO,Manajemen (S1)
6010383,IRA DARMAWANTI,Psikologi (S1)
6774143,EVI SUAEBAH,Fisika (S1)
5988529,PRIMA VIDYA ASTERIA,Pendidikan Bahasa Dan Sastra Indonesia (S1)
5995790,MUNOTO,Unknown
74725,DHIAH FITRAYATI,Pendidikan Ekonomi (S1)
5989520,SUCI ROHAYATI,Pendidikan Akuntansi (S1)
6008064,MOCHAMAD ARIF IRFAI,Teknik Mesin (S1)
6009271,DITA YULIASTRID,Ilmu Keolahragaan (S1)
6833687,HITTA ALFI MUHIMMAH,Pendidikan Dasar (S2)
6010755,ACHMAD IMAM AGUNG,Pendidikan Teknik Elektro (S1)
6010670,ACHMAD LUTFI,Pendidikan Kimia (S1)
6008890,IBNU FEBRY KURNIAWAN,Sains Data (S1)
6800304,OKA SAPUTRA,Pendidikan Fisika (S2)
6009597,EKO WAHJUDI,Pendidikan Akuntansi (S1)
5988824,BERTHA YONATA,Pendidikan Kimia (S1)
260249,DURINDA PUSPASARI,Pendidikan Administrasi Perkantoran (S1)
5988524,BACHTIAR SYAIFUL BACHRI,Teknologi Pendidikan (S3)
257754,NIA WAHYU DAMAYANTI,Pendidikan Matematika (S1)
5995938,SUGENG HARIANTO,Ilmu Hukum (S1)
6007098,GANES GUNANSYAH,Pendidikan Dasar (S3)
6009266,OKSIANA JATININGSIH,Pendidikan Pancasila dan Kewarganegaraan (S2)
6859616,HERI PURNOMO,Pendidikan Matematika (Kampus Kabupaten Magetan) (S1)
6706079,YULI SUTOTO NUGROHO,Pendidikan Teknik Elektro (S1)
6867130,CATURIA SASTI SULISTYANA,Keperawatan (S1)
5993622,PRADNYO WIJAYANTI,Pendidikan Matematika (Kampus Kabupaten Magetan) (S1)
6010263,DIAH HARI KUSUMAWATI,Fisika (S1)
6009013,SRI ABIDAH SURYANINGSIH,Perekonomian Islam dan Industri Halal (S2)
5980297,I MADE ARSANA,Teknik Mesin (S1)
6010504,DAVID AGUS PRIANTO,Pendidikan Kepelatihan Olahraga (S1)
6008420,WAGINO,Pendidikan Inklusi (S3)
6922300,SHIDQI HAMDI PRATAMA PUTERA,Ilmu Keolahragaan (S2)
6759332,SATWIKA ARYA PRATAMA,Gizi (S1)
5998521,WIDYASTUTI,Manajemen (S1)
6026945,MOH. DANANG BAHTIAR,Pendidikan Akuntansi (S1)
5996473,AGUS BUDI SANTOSO,Unknown
6011137,MINTOHARI,Pendidikan Guru Sekolah Dasar (S1)
6010682,MUHAMAD SHOLEH,Manajemen Pendidikan (S3)
6726265,HAN TANTRI HARDINI,Pendidikan Akuntansi (S1)
6010587,RINA HARIMURTI,Pendidikan Teknik Elektro (S1)
6081797,ROFIK JALAL ROSYANAFI,Ilmu Pendidikan (S3)
6008919,ANANDA PERWIRA BAKTI,Kedokteran (S1)
6010738,ULIL HARTONO,Manajemen (S2)
6009702,MAYA MUSTIKA KARTIKA SARI,Hubungan Internasional (S1)
6010836,OCTO DENDY ANDRIYANTO,Pendidikan Bahasa Dan Sastra Jawa (S1)
5995535,MOCHAMAD CHOLIK,Pendidikan Teknik Mesin (S1)
6682449,IKA SWASTI PUTRI,Akuntansi (Kampus Kabupaten Magetan) (S1)
6706128,PEPPY MAYASARI,Pendidikan Tata Busana (S1)
5993376,LAILY ROSDIANA,Pendidikan Ilmu Pengetahuan Alam (S1)
